local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,69221503,686541
Alta Floresta D'Oeste (RO),27920,85
Ariquemes (RO),16644,5273
Cabixi (RO),19876,33
Cacoal (RO),24641,925
Cerejeiras (RO),34372,6
Colorado do Oeste (RO),6117,277
Corumbiara (RO),48119,20
Costa Marques (RO),1619,-
Espigão D'Oeste (RO),5710,320
Guajará-Mirim (RO),760,-
Jaru (RO),8566,3384
Ji-Paraná (RO),5444,515
Machadinho D'Oeste (RO),20696,1126
Nova Brasilândia D'Oeste (RO),9581,15
Ouro Preto do Oeste (RO),8234,2050
Pimenta Bueno (RO),1685,46
Porto Velho (RO),11727,833
Presidente Médici (RO),6613,86
Rio Crespo (RO),9772,97
Rolim de Moura (RO),4495,416
Santa Luzia D'Oeste (RO),7286,90
Vilhena (RO),110381,-
São Miguel do Guaporé (RO),15673,7
Nova Mamoré (RO),4462,62
Alvorada D'Oeste (RO),8078,140
Alto Alegre dos Parecis (RO),21894,18
Alto Paraíso (RO),7360,285
Buritis (RO),17799,3343
Novo Horizonte do Oeste (RO),7802,-
Cacaulândia (RO),6830,3593
Campo Novo de Rondônia (RO),7311,1540
Candeias do Jamari (RO),2901,122
Castanheiras (RO),3097,10
Chupinguaia (RO),35415,-
Cujubim (RO),3106,200
Governador Jorge Teixeira (RO),2861,835
Itapuã do Oeste (RO),1575,-
Ministro Andreazza (RO),6873,192
Mirante da Serra (RO),9617,488
Monte Negro (RO),4422,478
Nova União (RO),3458,195
Parecis (RO),3079,7
Pimenteiras do Oeste (RO),28514,-
Primavera de Rondônia (RO),1374,11
São Felipe D'Oeste (RO),7912,65
São Francisco do Guaporé (RO),6616,-
Seringueiras (RO),7040,43
Teixeirópolis (RO),1884,245
Theobroma (RO),6034,950
Urupá (RO),6547,993
Vale do Anari (RO),8668,269
Vale do Paraíso (RO),3564,467
Acrelândia (AC),7761,-
Assis Brasil (AC),1965,-
Brasiléia (AC),5837,-
Bujari (AC),5457,-
Capixaba (AC),8365,-
Cruzeiro do Sul (AC),17908,-
Epitaciolândia (AC),4376,-
Feijó (AC),7941,-
Jordão (AC),1249,-
Mâncio Lima (AC),4894,-
Manoel Urbano (AC),2833,-
Marechal Thaumaturgo (AC),5186,-
Plácido de Castro (AC),9329,-
Porto Walter (AC),3038,-
Rio Branco (AC),5786,-
Rodrigues Alves (AC),16157,-
Santa Rosa do Purus (AC),715,-
Senador Guiomard (AC),6534,-
Sena Madureira (AC),11663,-
Tarauacá (AC),8294,-
Xapuri (AC),4718,-
Porto Acre (AC),6922,-
Alvarães (AM),916,20
Amaturá (AM),401,60
Anamã (AM),1028,120
Anori (AM),841,20
Apuí (AM),6320,300
Atalaia do Norte (AM),744,24
Autazes (AM),3414,304
Barcelos (AM),375,-
Barreirinha (AM),650,40
Benjamin Constant (AM),1302,20
Beruri (AM),1167,20
Boa Vista do Ramos (AM),865,40
Boca do Acre (AM),4198,300
Borba (AM),5042,2381
Caapiranga (AM),683,20
Canutama (AM),509,50
Carauari (AM),1823,95
Careiro (AM),1640,-
Careiro da Várzea (AM),1318,-
Coari (AM),3874,1086
Codajás (AM),3033,72
Eirunepé (AM),2228,80
Envira (AM),6165,60
Fonte Boa (AM),1263,507
Guajará (AM),2158,-
Humaitá (AM),3646,400
Ipixuna (AM),366,50
Iranduba (AM),1670,-
Itacoatiara (AM),13709,758
Itamarati (AM),552,40
Itapiranga (AM),666,102
Japurá (AM),217,-
Juruá (AM),419,50
Jutaí (AM),1465,300
Lábrea (AM),8893,100
Manacapuru (AM),21079,100
Manaquiri (AM),1334,-
Manaus (AM),2061,40
Manicoré (AM),15342,967
Maraã (AM),635,43
Maués (AM),9401,-
Nhamundá (AM),1947,-
Nova Olinda do Norte (AM),2856,1949
Novo Airão (AM),466,-
Novo Aripuanã (AM),2283,376
Parintins (AM),7462,50
Pauini (AM),1060,100
Presidente Figueiredo (AM),9552,-
Rio Preto da Eva (AM),4541,-
Santa Isabel do Rio Negro (AM),1008,-
Santo Antônio do Içá (AM),726,-
São Gabriel da Cachoeira (AM),571,-
São Paulo de Olivença (AM),852,-
São Sebastião do Uatumã (AM),869,74
Silves (AM),784,132
Tabatinga (AM),422,100
Tapauá (AM),3406,120
Tefé (AM),9494,484
Tonantins (AM),897,40
Uarini (AM),2673,30
Urucará (AM),1774,207
Urucurituba (AM),1076,689
Amajari (RR),3920,-
Alto Alegre (RR),5204,-
Boa Vista (RR),4776,-
Bonfim (RR),9267,-
Cantá (RR),3887,-
Caracaraí (RR),1904,-
Caroebe (RR),3773,-
Iracema (RR),2011,-
Mucajaí (RR),4130,-
Normandia (RR),4346,-
Pacaraima (RR),1236,-
Rorainópolis (RR),4334,-
São João da Baliza (RR),1489,-
São Luiz (RR),1373,-
Uiramutã (RR),504,-
Abaetetuba (PA),3435,35
Abel Figueiredo (PA),2240,-
Acará (PA),34421,800
Afuá (PA),115,-
Água Azul do Norte (PA),2722,30
Alenquer (PA),13378,580
Almeirim (PA),711,25
Altamira (PA),17645,4700
Anajás (PA),236,-
Ananindeua (PA),112,-
Anapu (PA),7749,3120
Augusto Corrêa (PA),8323,-
Aurora do Pará (PA),8958,-
Aveiro (PA),2777,52
Bagre (PA),119,-
Baião (PA),3570,180
Bannach (PA),288,8
Barcarena (PA),2802,350
Belém (PA),100,-
Belterra (PA),31333,-
Benevides (PA),30,-
Bom Jesus do Tocantins (PA),2615,-
Bonito (PA),5036,-
Bragança (PA),14718,-
Brasil Novo (PA),5236,3443
Brejo Grande do Araguaia (PA),1765,-
Breu Branco (PA),6240,115
Breves (PA),390,-
Bujaru (PA),2082,80
Cachoeira do Piriá (PA),4217,-
Cachoeira do Arari (PA),2960,-
Cametá (PA),9222,5613
Canaã dos Carajás (PA),2651,-
Capanema (PA),4814,-
Capitão Poço (PA),16835,-
Castanhal (PA),7682,60
Chaves (PA),120,-
Colares (PA),805,-
Conceição do Araguaia (PA),4320,-
Concórdia do Pará (PA),7900,270
Cumaru do Norte (PA),10545,100
Curionópolis (PA),2235,-
Curralinho (PA),349,-
Curuá (PA),1277,-
Curuçá (PA),1060,-
Dom Eliseu (PA),36345,-
Eldorado do Carajás (PA),1560,120
Faro (PA),1292,-
Floresta do Araguaia (PA),17780,-
Garrafão do Norte (PA),7895,-
Goianésia do Pará (PA),4170,-
Gurupá (PA),709,60
Igarapé-Açu (PA),7941,-
Igarapé-Miri (PA),2040,208
Inhangapi (PA),2326,45
Ipixuna do Pará (PA),22783,-
Irituia (PA),834,2
Itaituba (PA),19820,220
Itupiranga (PA),14475,150
Jacareacanga (PA),2210,2
Jacundá (PA),2388,-
Juruti (PA),15806,-
Limoeiro do Ajuru (PA),214,60
Mãe do Rio (PA),1950,-
Magalhães Barata (PA),1206,-
Marabá (PA),8360,90
Maracanã (PA),2120,-
Marapanim (PA),2255,-
Marituba (PA),...,...
Medicilândia (PA),36325,23897
Melgaço (PA),207,-
Mocajuba (PA),2665,1105
Moju (PA),28223,40
Mojuí dos Campos (PA),...,...
Monte Alegre (PA),26493,43
Muaná (PA),235,-
Nova Esperança do Piriá (PA),4710,-
Nova Ipixuna (PA),2064,-
Nova Timboteua (PA),2880,-
Novo Progresso (PA),4547,10
Novo Repartimento (PA),25101,8000
Óbidos (PA),13463,20
Oeiras do Pará (PA),4447,50
Oriximiná (PA),12481,-
Ourém (PA),1645,-
Ourilândia do Norte (PA),1771,300
Pacajá (PA),13794,2330
Palestina do Pará (PA),635,-
Paragominas (PA),68438,-
Parauapebas (PA),10530,90
Pau D'Arco (PA),810,-
Peixe-Boi (PA),1792,-
Piçarra (PA),3074,254
Placas (PA),14608,7000
Ponta de Pedras (PA),265,-
Portel (PA),4304,-
Porto de Moz (PA),1123,12
Prainha (PA),5778,40
Primavera (PA),1015,-
Quatipuru (PA),585,-
Redenção (PA),3920,-
Rio Maria (PA),1479,55
Rondon do Pará (PA),17653,-
Rurópolis (PA),10858,911
Salinópolis (PA),1240,-
Salvaterra (PA),415,-
Santa Bárbara do Pará (PA),400,-
Santa Izabel do Pará (PA),1820,180
Santa Luzia do Pará (PA),2910,-
Santa Maria das Barreiras (PA),11370,-
Santa Maria do Pará (PA),8420,-
Santana do Araguaia (PA),13755,-
Santarém (PA),55824,5
Santarém Novo (PA),1005,-
Santo Antônio do Tauá (PA),4409,-
São Caetano de Odivelas (PA),575,-
São Domingos do Araguaia (PA),5447,20
São Domingos do Capim (PA),9562,200
São Félix do Xingu (PA),18072,1902
São Francisco do Pará (PA),2916,30
São Geraldo do Araguaia (PA),9938,1020
São João da Ponta (PA),1153,-
São João de Pirabas (PA),640,-
São João do Araguaia (PA),5930,-
São Miguel do Guamá (PA),8095,-
São Sebastião da Boa Vista (PA),680,-
Sapucaia (PA),1192,40
Senador José Porfírio (PA),3796,730
Soure (PA),150,-
Tailândia (PA),26145,-
Terra Alta (PA),929,-
Terra Santa (PA),291,-
Tomé-Açu (PA),21130,3100
Tracuateua (PA),6635,-
Trairão (PA),13291,1300
Tucumã (PA),4523,3313
Tucuruí (PA),12525,400
Ulianópolis (PA),30845,-
Uruará (PA),16742,8341
Vigia (PA),1293,-
Viseu (PA),8646,-
Vitória do Xingu (PA),6086,2990
Xinguara (PA),2362,21
Serra do Navio (AP),1172,-
Amapá (AP),540,-
Pedra Branca do Amapari (AP),1970,-
Calçoene (AP),1405,-
Cutias (AP),450,-
Ferreira Gomes (AP),765,-
Itaubal (AP),1375,-
Laranjal do Jari (AP),1976,-
Macapá (AP),2152,-
Mazagão (AP),1716,-
Oiapoque (AP),3160,-
Porto Grande (AP),2244,-
Pracuúba (AP),730,-
Santana (AP),1107,-
Tartarugalzinho (AP),2762,-
Vitória do Jari (AP),1164,-
Abreulândia (TO),205,-
Aguiarnópolis (TO),154,-
Aliança do Tocantins (TO),1073,-
Almas (TO),1125,-
Alvorada (TO),14335,-
Ananás (TO),398,-
Angico (TO),601,-
Aparecida do Rio Negro (TO),15252,-
Aragominas (TO),1872,-
Araguacema (TO),3430,-
Araguaçu (TO),1805,-
Araguaína (TO),3125,-
Araguanã (TO),666,-
Araguatins (TO),1380,-
Arapoema (TO),1690,-
Arraias (TO),5025,-
Augustinópolis (TO),355,-
Aurora do Tocantins (TO),949,-
Axixá do Tocantins (TO),311,-
Babaçulândia (TO),1924,-
Bandeirantes do Tocantins (TO),530,-
Barra do Ouro (TO),7682,-
Barrolândia (TO),740,-
Bernardo Sayão (TO),485,-
Bom Jesus do Tocantins (TO),8812,-
Brasilândia do Tocantins (TO),1790,-
Brejinho de Nazaré (TO),12887,-
Buriti do Tocantins (TO),180,-
Cachoeirinha (TO),159,-
Campos Lindos (TO),85762,-
Cariri do Tocantins (TO),5595,-
Carmolândia (TO),640,-
Carrasco Bonito (TO),205,-
Caseara (TO),3807,-
Centenário (TO),2278,-
Chapada de Areia (TO),175,-
Chapada da Natividade (TO),7678,-
Colinas do Tocantins (TO),490,-
Combinado (TO),1530,-
Conceição do Tocantins (TO),676,-
Couto Magalhães (TO),2580,-
Cristalândia (TO),3574,-
Crixás do Tocantins (TO),2300,-
Darcinópolis (TO),12247,-
Dianópolis (TO),34990,-
Divinópolis do Tocantins (TO),315,-
Dois Irmãos do Tocantins (TO),1115,-
Dueré (TO),8635,-
Esperantina (TO),375,-
Fátima (TO),2893,-
Figueirópolis (TO),8660,-
Filadélfia (TO),1456,-
Formoso do Araguaia (TO),38324,-
Tabocão (TO),3300,-
Goianorte (TO),670,-
Goiatins (TO),25452,-
Guaraí (TO),10980,-
Gurupi (TO),1590,-
Ipueiras (TO),6672,-
Itacajá (TO),3950,-
Itaguatins (TO),260,-
Itapiratins (TO),6100,-
Itaporã do Tocantins (TO),750,-
Jaú do Tocantins (TO),522,-
Juarina (TO),260,-
Lagoa da Confusão (TO),60290,-
Lagoa do Tocantins (TO),1288,-
Lajeado (TO),355,-
Lavandeira (TO),619,-
