local,total_area_plantada_hectare,total_cacau_semente_hectare
Lizarda (TO),370,-
Luzinópolis (TO),299,-
Marianópolis do Tocantins (TO),631,-
Mateiros (TO),39415,-
Maurilândia do Tocantins (TO),188,-
Miracema do Tocantins (TO),2435,-
Miranorte (TO),1705,-
Monte do Carmo (TO),17010,-
Monte Santo do Tocantins (TO),290,-
Palmeiras do Tocantins (TO),414,-
Muricilândia (TO),1047,-
Natividade (TO),1285,-
Nazaré (TO),280,-
Nova Olinda (TO),820,-
Nova Rosalândia (TO),785,-
Novo Acordo (TO),1215,-
Novo Alegre (TO),636,-
Novo Jardim (TO),2053,-
Oliveira de Fátima (TO),1102,-
Palmeirante (TO),6380,-
Palmeirópolis (TO),1665,-
Paraíso do Tocantins (TO),2265,-
Paranã (TO),780,-
Pau D'Arco (TO),650,-
Pedro Afonso (TO),43450,-
Peixe (TO),10750,-
Pequizeiro (TO),550,-
Colméia (TO),470,-
Pindorama do Tocantins (TO),2465,-
Piraquê (TO),1179,-
Pium (TO),11365,-
Ponte Alta do Bom Jesus (TO),1465,-
Ponte Alta do Tocantins (TO),2318,-
Porto Alegre do Tocantins (TO),720,-
Porto Nacional (TO),33966,-
Praia Norte (TO),129,-
Presidente Kennedy (TO),1550,-
Pugmil (TO),437,-
Recursolândia (TO),575,-
Riachinho (TO),762,-
Rio da Conceição (TO),366,-
Rio dos Bois (TO),4388,-
Rio Sono (TO),1170,-
Sampaio (TO),125,-
Sandolândia (TO),530,-
Santa Fé do Araguaia (TO),2002,-
Santa Maria do Tocantins (TO),3140,-
Santa Rita do Tocantins (TO),2795,-
Santa Rosa do Tocantins (TO),18518,-
Santa Tereza do Tocantins (TO),950,-
Santa Terezinha do Tocantins (TO),202,-
São Bento do Tocantins (TO),267,-
São Félix do Tocantins (TO),278,-
São Miguel do Tocantins (TO),132,-
São Salvador do Tocantins (TO),375,-
São Sebastião do Tocantins (TO),130,-
São Valério (TO),1600,-
Silvanópolis (TO),23159,-
Sítio Novo do Tocantins (TO),119,-
Sucupira (TO),6471,-
Taguatinga (TO),3960,-
Taipas do Tocantins (TO),563,-
Talismã (TO),2845,-
Palmas (TO),11055,-
Tocantínia (TO),193,-
Tocantinópolis (TO),207,-
Tupirama (TO),12813,-
Tupiratins (TO),2070,-
Wanderlândia (TO),1706,-
Xambioá (TO),1153,-
Açailândia (MA),4676,-
Afonso Cunha (MA),2512,-
Água Doce do Maranhão (MA),2745,-
Alcântara (MA),2459,-
Aldeias Altas (MA),13201,-
Altamira do Maranhão (MA),2485,-
Alto Alegre do Maranhão (MA),3429,-
Alto Alegre do Pindaré (MA),13118,-
Alto Parnaíba (MA),43677,-
Amapá do Maranhão (MA),1643,-
Amarante do Maranhão (MA),3279,-
Anajatuba (MA),5297,-
Anapurus (MA),14890,-
Apicum-Açu (MA),637,-
Araguanã (MA),3794,-
Araioses (MA),8486,-
Arame (MA),20066,-
Arari (MA),5141,-
Axixá (MA),983,-
Bacabal (MA),10396,-
Bacabeira (MA),1020,-
Bacuri (MA),1007,-
Bacurituba (MA),476,-
Balsas (MA),194732,-
Barão de Grajaú (MA),2706,-
Barra do Corda (MA),24538,-
Barreirinhas (MA),13232,-
Belágua (MA),5269,-
Bela Vista do Maranhão (MA),1110,-
Benedito Leite (MA),1697,-
Bequimão (MA),4586,-
Bernardo do Mearim (MA),2163,-
Boa Vista do Gurupi (MA),1253,-
Bom Jardim (MA),16222,-
Bom Jesus das Selvas (MA),16850,-
Bom Lugar (MA),3990,-
Brejo (MA),30143,-
Brejo de Areia (MA),7429,-
Buriti (MA),25620,-
Buriti Bravo (MA),8742,-
Buriticupu (MA),22592,-
Buritirana (MA),860,-
Cachoeira Grande (MA),1742,-
Cajapió (MA),1071,-
Cajari (MA),2167,-
Campestre do Maranhão (MA),5553,-
Cândido Mendes (MA),5503,-
Cantanhede (MA),6972,-
Capinzal do Norte (MA),4302,-
Carolina (MA),36310,-
Carutapera (MA),3685,-
Caxias (MA),19027,-
Cedral (MA),791,-
Central do Maranhão (MA),1073,-
Centro do Guilherme (MA),3510,-
Centro Novo do Maranhão (MA),4725,-
Chapadinha (MA),18447,-
Cidelândia (MA),1128,-
Codó (MA),17660,-
Coelho Neto (MA),9308,-
Colinas (MA),13034,-
Conceição do Lago-Açu (MA),1967,-
Coroatá (MA),10883,-
Cururupu (MA),675,-
Davinópolis (MA),1037,-
Dom Pedro (MA),1854,-
Duque Bacelar (MA),2835,-
Esperantinópolis (MA),3215,-
Estreito (MA),2929,-
Feira Nova do Maranhão (MA),2883,-
Fernando Falcão (MA),4146,-
Formosa da Serra Negra (MA),7252,-
Fortaleza dos Nogueiras (MA),27563,-
Fortuna (MA),10379,-
Godofredo Viana (MA),1245,-
Gonçalves Dias (MA),5543,-
Governador Archer (MA),3093,-
Governador Edison Lobão (MA),497,-
Governador Eugênio Barros (MA),5707,-
Governador Luiz Rocha (MA),2626,-
Governador Newton Bello (MA),4381,-
Governador Nunes Freire (MA),2464,-
Graça Aranha (MA),3042,-
Grajaú (MA),24089,-
Guimarães (MA),1439,-
Humberto de Campos (MA),2643,-
Icatu (MA),2365,-
Igarapé do Meio (MA),1299,-
Igarapé Grande (MA),3182,-
Imperatriz (MA),671,-
Itaipava do Grajaú (MA),7818,-
Itapecuru Mirim (MA),14318,-
Itinga do Maranhão (MA),4099,-
Jatobá (MA),4587,-
Jenipapo dos Vieiras (MA),6044,-
João Lisboa (MA),621,-
Joselândia (MA),7125,-
Junco do Maranhão (MA),1084,-
Lago da Pedra (MA),10746,-
Lago do Junco (MA),2541,-
Lago Verde (MA),3404,-
Lagoa do Mato (MA),5351,-
Lago dos Rodrigues (MA),3312,-
Lagoa Grande do Maranhão (MA),9010,-
Lajeado Novo (MA),806,-
Lima Campos (MA),1885,-
Loreto (MA),30885,-
Luís Domingues (MA),797,-
Magalhães de Almeida (MA),8068,-
Maracaçumé (MA),2404,-
Marajá do Sena (MA),8600,-
Maranhãozinho (MA),3890,-
Mata Roma (MA),13838,-
Matinha (MA),3901,-
Matões (MA),6886,-
Matões do Norte (MA),5452,-
Milagres do Maranhão (MA),11086,-
Mirador (MA),12671,-
Miranda do Norte (MA),1460,-
Mirinzal (MA),1735,-
Monção (MA),7925,-
Montes Altos (MA),942,-
Morros (MA),1860,-
Nina Rodrigues (MA),3844,-
Nova Colinas (MA),6298,-
Nova Iorque (MA),1644,-
Nova Olinda do Maranhão (MA),5633,-
Olho d'Água das Cunhãs (MA),2935,-
Olinda Nova do Maranhão (MA),4081,-
Paço do Lumiar (MA),106,-
Palmeirândia (MA),4842,-
Paraibano (MA),5658,-
Parnarama (MA),8447,-
Passagem Franca (MA),4938,-
Pastos Bons (MA),9927,-
Paulino Neves (MA),3950,-
Paulo Ramos (MA),8085,-
Pedreiras (MA),2625,-
Pedro do Rosário (MA),4120,-
Penalva (MA),7906,-
Peri Mirim (MA),1693,-
Peritoró (MA),3552,-
Pindaré-Mirim (MA),910,-
Pinheiro (MA),6963,-
Pio XII (MA),2676,-
Pirapemas (MA),10210,-
Poção de Pedras (MA),7934,-
Porto Franco (MA),1588,-
Porto Rico do Maranhão (MA),1067,-
Presidente Dutra (MA),4984,-
Presidente Juscelino (MA),1507,-
Presidente Médici (MA),1098,-
Presidente Sarney (MA),4886,-
Presidente Vargas (MA),3328,-
Primeira Cruz (MA),1203,-
Raposa (MA),54,-
Riachão (MA),47671,-
Ribamar Fiquene (MA),1379,-
Rosário (MA),4378,-
Sambaíba (MA),56011,-
Santa Filomena do Maranhão (MA),4345,-
Santa Helena (MA),3107,-
Santa Inês (MA),2225,-
Santa Luzia (MA),41938,-
Santa Luzia do Paruá (MA),4835,-
Santa Quitéria do Maranhão (MA),8958,-
Santa Rita (MA),2847,-
Santana do Maranhão (MA),3319,-
Santo Amaro do Maranhão (MA),3200,-
Santo Antônio dos Lopes (MA),4163,-
São Benedito do Rio Preto (MA),5933,-
São Bento (MA),3677,-
São Bernardo (MA),3316,-
São Domingos do Azeitão (MA),27344,-
São Domingos do Maranhão (MA),17904,-
São Félix de Balsas (MA),4048,-
São Francisco do Brejão (MA),447,-
São Francisco do Maranhão (MA),4442,-
São João Batista (MA),1857,-
São João do Carú (MA),15092,-
São João do Paraíso (MA),1693,-
São João do Soter (MA),5504,-
São João dos Patos (MA),4227,-
São José de Ribamar (MA),56,-
São José dos Basílios (MA),4886,-
São Luís (MA),270,-
São Luís Gonzaga do Maranhão (MA),9448,-
São Mateus do Maranhão (MA),6292,-
São Pedro da Água Branca (MA),139,-
São Pedro dos Crentes (MA),4031,-
São Raimundo das Mangabeiras (MA),42001,-
São Raimundo do Doca Bezerra (MA),3595,-
São Roberto (MA),1352,-
São Vicente Ferrer (MA),3535,-
Satubinha (MA),2060,-
Senador Alexandre Costa (MA),5266,-
Senador La Rocque (MA),655,-
Serrano do Maranhão (MA),2904,-
Sítio Novo (MA),2860,-
Sucupira do Norte (MA),5073,-
Sucupira do Riachão (MA),2252,-
Tasso Fragoso (MA),144484,-
Timbiras (MA),7094,-
Timon (MA),8029,-
Trizidela do Vale (MA),1943,-
Tufilândia (MA),475,-
Tuntum (MA),15489,-
Turiaçu (MA),10972,-
Turilândia (MA),7390,-
Tutóia (MA),6192,-
Urbano Santos (MA),8634,-
Vargem Grande (MA),13203,-
Viana (MA),6523,-
Vila Nova dos Martírios (MA),799,-
Vitória do Mearim (MA),4402,-
Vitorino Freire (MA),10000,-
Zé Doca (MA),13120,-
Acauã (PI),5681,-
Agricolândia (PI),2405,-
Água Branca (PI),1493,-
Alagoinha do Piauí (PI),17778,-
Alegrete do Piauí (PI),2810,-
Alto Longá (PI),3795,-
Altos (PI),3349,-
Alvorada do Gurguéia (PI),11628,-
Amarante (PI),5851,-
Angical do Piauí (PI),1995,-
Anísio de Abreu (PI),5215,-
Antônio Almeida (PI),7895,-
Aroazes (PI),789,-
Aroeiras do Itaim (PI),2156,-
Arraial (PI),1074,-
Assunção do Piauí (PI),7874,-
Avelino Lopes (PI),1565,-
Baixa Grande do Ribeiro (PI),147560,-
Barra D'Alcântara (PI),772,-
Barras (PI),6371,-
Barreiras do Piauí (PI),677,-
Barro Duro (PI),1450,-
Batalha (PI),4915,-
Bela Vista do Piauí (PI),1916,-
Belém do Piauí (PI),2488,-
Beneditinos (PI),2616,-
Bertolínia (PI),1732,-
Betânia do Piauí (PI),5606,-
Boa Hora (PI),1298,-
Bocaina (PI),2120,-
Bom Jesus (PI),65647,-
Bom Princípio do Piauí (PI),9937,-
Bonfim do Piauí (PI),3283,-
Boqueirão do Piauí (PI),752,-
Brasileira (PI),2987,-
Brejo do Piauí (PI),1175,-
Buriti dos Lopes (PI),5372,-
Buriti dos Montes (PI),4691,-
Cabeceiras do Piauí (PI),1871,-
Cajazeiras do Piauí (PI),1506,-
Cajueiro da Praia (PI),1992,-
Caldeirão Grande do Piauí (PI),8968,-
Campinas do Piauí (PI),3130,-
Campo Alegre do Fidalgo (PI),626,-
Campo Grande do Piauí (PI),8236,-
Campo Largo do Piauí (PI),918,-
Campo Maior (PI),3955,-
Canavieira (PI),1276,-
Canto do Buriti (PI),11936,-
Capitão de Campos (PI),4053,-
Capitão Gervásio Oliveira (PI),1086,-
Caracol (PI),6638,-
Caraúbas do Piauí (PI),1648,-
Caridade do Piauí (PI),2659,-
Castelo do Piauí (PI),3954,-
Caxingó (PI),2158,-
Cocal (PI),17477,-
Cocal de Telha (PI),847,-
Cocal dos Alves (PI),5583,-
Coivaras (PI),1353,-
Colônia do Gurguéia (PI),1189,-
Colônia do Piauí (PI),1749,-
Conceição do Canindé (PI),1109,-
Coronel José Dias (PI),1569,-
Corrente (PI),9747,-
Cristalândia do Piauí (PI),2436,-
Cristino Castro (PI),1789,-
Curimatá (PI),2254,-
Currais (PI),36476,-
Curralinhos (PI),968,-
Curral Novo do Piauí (PI),2503,-
Demerval Lobão (PI),1317,-
Dirceu Arcoverde (PI),2009,-
Dom Expedito Lopes (PI),6095,-
Domingos Mourão (PI),2320,-
Dom Inocêncio (PI),5049,-
Elesbão Veloso (PI),5978,-
Eliseu Martins (PI),2007,-
Esperantina (PI),4457,-
Fartura do Piauí (PI),1783,-
Flores do Piauí (PI),1878,-
Floresta do Piauí (PI),1719,-
Floriano (PI),4413,-
Francinópolis (PI),1759,-
Francisco Ayres (PI),2281,-
Francisco Macedo (PI),944,-
Francisco Santos (PI),13226,-
Fronteiras (PI),6046,-
Geminiano (PI),5120,-
Gilbués (PI),38103,-
Guadalupe (PI),1157,-
Guaribas (PI),2508,-
Hugo Napoleão (PI),2181,-
Ilha Grande (PI),633,-
Inhuma (PI),7373,-
Ipiranga do Piauí (PI),3374,-
Isaías Coelho (PI),5070,-
Itainópolis (PI),5210,-
Itaueira (PI),7099,-
Jacobina do Piauí (PI),2765,-
Jaicós (PI),16141,-
Jardim do Mulato (PI),1362,-
Jatobá do Piauí (PI),2708,-
Jerumenha (PI),611,-
João Costa (PI),2000,-
Joaquim Pires (PI),2321,-
Joca Marques (PI),696,-
José de Freitas (PI),7407,-
Juazeiro do Piauí (PI),1288,-
Júlio Borges (PI),1375,-
Jurema (PI),5154,-
Lagoinha do Piauí (PI),1633,-
Lagoa Alegre (PI),1481,-
Lagoa do Barro do Piauí (PI),1770,-
Lagoa de São Francisco (PI),1653,-
Lagoa do Piauí (PI),910,-
Lagoa do Sítio (PI),5365,-
Landri Sales (PI),10321,-
Luís Correia (PI),9374,-
Luzilândia (PI),3777,-
Madeiro (PI),675,-
Manoel Emídio (PI),6405,-
Marcolândia (PI),2652,-
Marcos Parente (PI),1125,-
Massapê do Piauí (PI),3259,-
Matias Olímpio (PI),938,-
Miguel Alves (PI),8239,-
Miguel Leão (PI),1295,-
Milton Brandão (PI),2847,-
Monsenhor Gil (PI),3317,-
Monsenhor Hipólito (PI),10907,-
Monte Alegre do Piauí (PI),20641,-
Morro Cabeça no Tempo (PI),920,-
Morro do Chapéu do Piauí (PI),1544,-
Murici dos Portelas (PI),4028,-
Nazaré do Piauí (PI),2327,-
Nazária (PI),1743,-
Nossa Senhora de Nazaré (PI),712,-
Nossa Senhora dos Remédios (PI),1604,-
Novo Oriente do Piauí (PI),2210,-
Novo Santo Antônio (PI),1910,-
Oeiras (PI),4865,-
Olho D'Água do Piauí (PI),1866,-
Padre Marcos (PI),3272,-
Paes Landim (PI),1681,-
Pajeú do Piauí (PI),2239,-
Palmeira do Piauí (PI),19173,-
Palmeirais (PI),7135,-
Paquetá (PI),4683,-
Parnaguá (PI),3798,-
Parnaíba (PI),1286,-
Passagem Franca do Piauí (PI),1867,-
Patos do Piauí (PI),2689,-
Pau D'Arco do Piauí (PI),1260,-
Paulistana (PI),5049,-
Pavussu (PI),2166,-
Pedro II (PI),5366,-
Pedro Laurentino (PI),1137,-
Nova Santa Rita (PI),2801,-
Picos (PI),7870,-
Pimenteiras (PI),3799,-
Pio IX (PI),49715,-
Piracuruca (PI),4839,-
Piripiri (PI),5002,-
Porto (PI),442,-
Porto Alegre do Piauí (PI),2724,-
Prata do Piauí (PI),533,-
Queimada Nova (PI),3893,-
Redenção do Gurguéia (PI),2853,-
Regeneração (PI),7223,-
Riacho Frio (PI),846,-
Ribeira do Piauí (PI),1392,-
Ribeiro Gonçalves (PI),73663,-
Rio Grande do Piauí (PI),3926,-
Santa Cruz do Piauí (PI),2628,-
Santa Cruz dos Milagres (PI),2069,-
Santa Filomena (PI),39231,-
Santa Luz (PI),2487,-
Santana do Piauí (PI),3657,-
Santa Rosa do Piauí (PI),2146,-
Santo Antônio de Lisboa (PI),11074,-
Santo Antônio dos Milagres (PI),342,-
Santo Inácio do Piauí (PI),1730,-
São Braz do Piauí (PI),3298,-
São Félix do Piauí (PI),1454,-
São Francisco de Assis do Piauí (PI),1823,-
São Francisco do Piauí (PI),2389,-
São Gonçalo do Gurguéia (PI),868,-
