local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,78990210,591199
Alta Floresta D'Oeste (RO),18288,50
Ariquemes (RO),7470,1394
Cabixi (RO),41086,15
Cacoal (RO),18180,266
Cerejeiras (RO),52326,5
Colorado do Oeste (RO),6268,180
Corumbiara (RO),71742,16
Costa Marques (RO),1395,-
Espigão D'Oeste (RO),5588,10
Guajará-Mirim (RO),787,4
Jaru (RO),4043,1601
Ji-Paraná (RO),2588,212
Machadinho D'Oeste (RO),16636,252
Nova Brasilândia D'Oeste (RO),5955,7
Ouro Preto do Oeste (RO),1811,1300
Pimenta Bueno (RO),2601,4
Porto Velho (RO),48577,526
Presidente Médici (RO),1538,200
Rio Crespo (RO),19416,110
Rolim de Moura (RO),8441,24
Santa Luzia D'Oeste (RO),3761,10
Vilhena (RO),111745,5
São Miguel do Guaporé (RO),29184,7
Nova Mamoré (RO),3396,32
Alvorada D'Oeste (RO),2556,-
Alto Alegre dos Parecis (RO),23049,35
Alto Paraíso (RO),9830,40
Buritis (RO),5577,907
Novo Horizonte do Oeste (RO),4742,11
Cacaulândia (RO),1335,650
Campo Novo de Rondônia (RO),2002,80
Candeias do Jamari (RO),9027,-
Castanheiras (RO),4349,11
Chupinguaia (RO),40312,-
Cujubim (RO),11541,78
Governador Jorge Teixeira (RO),1841,600
Itapuã do Oeste (RO),3809,-
Ministro Andreazza (RO),6284,46
Mirante da Serra (RO),5867,535
Monte Negro (RO),1387,140
Nova União (RO),1945,195
Parecis (RO),2211,2
Pimenteiras do Oeste (RO),41272,-
Primavera de Rondônia (RO),829,5
São Felipe D'Oeste (RO),2229,65
São Francisco do Guaporé (RO),3679,-
Seringueiras (RO),8563,10
Teixeirópolis (RO),674,245
Theobroma (RO),2980,384
Urupá (RO),2032,993
Vale do Anari (RO),1907,58
Vale do Paraíso (RO),1021,467
Acrelândia (AC),5807,-
Assis Brasil (AC),2166,-
Brasiléia (AC),3830,-
Bujari (AC),4654,-
Capixaba (AC),6366,-
Cruzeiro do Sul (AC),5437,-
Epitaciolândia (AC),3481,-
Feijó (AC),8337,-
Jordão (AC),1725,-
Mâncio Lima (AC),4300,-
Manoel Urbano (AC),1990,-
Marechal Thaumaturgo (AC),4581,-
Plácido de Castro (AC),3199,-
Porto Walter (AC),1988,-
Rio Branco (AC),5980,-
Rodrigues Alves (AC),4574,-
Santa Rosa do Purus (AC),914,-
Senador Guiomard (AC),5708,-
Sena Madureira (AC),7453,-
Tarauacá (AC),8482,-
Xapuri (AC),3695,-
Porto Acre (AC),5876,-
Alvarães (AM),5605,10
Amaturá (AM),594,-
Anamã (AM),404,-
Anori (AM),565,-
Apuí (AM),1235,34
Atalaia do Norte (AM),470,-
Autazes (AM),5406,80
Barcelos (AM),282,2
Barreirinha (AM),317,-
Benjamin Constant (AM),592,-
Beruri (AM),640,-
Boa Vista do Ramos (AM),647,-
Boca do Acre (AM),1293,230
Borba (AM),1301,290
Caapiranga (AM),154,-
Canutama (AM),177,-
Carauari (AM),1221,-
Careiro (AM),1078,-
Careiro da Várzea (AM),643,-
Coari (AM),1467,160
Codajás (AM),5465,20
Eirunepé (AM),1906,-
Envira (AM),2036,-
Fonte Boa (AM),318,75
Guajará (AM),589,-
Humaitá (AM),3753,25
Ipixuna (AM),268,-
Iranduba (AM),1764,-
Itacoatiara (AM),3587,35
Itamarati (AM),61,-
Itapiranga (AM),788,26
Japurá (AM),420,-
Juruá (AM),135,-
Jutaí (AM),1399,92
Lábrea (AM),1072,-
Manacapuru (AM),21792,-
Manaquiri (AM),1587,-
Manaus (AM),890,-
Manicoré (AM),10499,250
Maraã (AM),4073,-
Maués (AM),3941,-
Nhamundá (AM),793,-
Nova Olinda do Norte (AM),1921,60
Novo Airão (AM),458,-
Novo Aripuanã (AM),1670,90
Parintins (AM),1204,-
Pauini (AM),965,11
Presidente Figueiredo (AM),5922,-
Rio Preto da Eva (AM),3288,-
Santa Isabel do Rio Negro (AM),257,-
Santo Antônio do Içá (AM),407,-
São Gabriel da Cachoeira (AM),17,-
São Paulo de Olivença (AM),470,-
São Sebastião do Uatumã (AM),1117,-
Silves (AM),1192,12
Tabatinga (AM),147,-
Tapauá (AM),4234,-
Tefé (AM),8903,25
Tonantins (AM),259,2
Uarini (AM),6322,-
Urucará (AM),1205,29
Urucurituba (AM),57,30
Amajari (RR),1605,-
Alto Alegre (RR),10421,-
Boa Vista (RR),8814,-
Bonfim (RR),16084,-
Cantá (RR),2609,-
Caracaraí (RR),1309,-
Caroebe (RR),3367,12
Iracema (RR),1257,-
Mucajaí (RR),2593,-
Normandia (RR),3288,-
Pacaraima (RR),798,-
Rorainópolis (RR),2340,-
São João da Baliza (RR),1381,-
São Luiz (RR),924,-
Uiramutã (RR),1608,-
Abaetetuba (PA),25200,80
Abel Figueiredo (PA),1184,-
Acará (PA),41637,1120
Afuá (PA),140,-
Água Azul do Norte (PA),5083,30
Alenquer (PA),16651,417
Almeirim (PA),751,35
Altamira (PA),18544,7369
Anajás (PA),267,-
Ananindeua (PA),56,-
Anapu (PA),7609,5257
Augusto Corrêa (PA),6385,-
Aurora do Pará (PA),4440,-
Aveiro (PA),3985,300
Bagre (PA),191,-
Baião (PA),2460,260
Bannach (PA),227,8
Barcarena (PA),14996,1500
Belém (PA),1311,-
Belterra (PA),28350,-
Benevides (PA),151,-
