local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,76951269,704288
Alta Floresta D'Oeste (RO),19546,50
Ariquemes (RO),6985,1394
Cabixi (RO),31766,28
Cacoal (RO),17428,266
Cerejeiras (RO),48153,5
Colorado do Oeste (RO),5632,220
Corumbiara (RO),61233,16
Costa Marques (RO),1256,-
Espigão D'Oeste (RO),5765,10
Guajará-Mirim (RO),665,-
Jaru (RO),5646,1601
Ji-Paraná (RO),2775,245
Machadinho D'Oeste (RO),20437,252
Nova Brasilândia D'Oeste (RO),6335,7
Ouro Preto do Oeste (RO),2381,1522
Pimenta Bueno (RO),1511,4
Porto Velho (RO),30750,629
Presidente Médici (RO),1551,97
Rio Crespo (RO),15337,190
Rolim de Moura (RO),6136,24
Santa Luzia D'Oeste (RO),2432,10
Vilhena (RO),90905,-
São Miguel do Guaporé (RO),29921,7
Nova Mamoré (RO),2787,166
Alvorada D'Oeste (RO),3980,82
Alto Alegre dos Parecis (RO),23996,35
Alto Paraíso (RO),5544,40
Buritis (RO),5717,907
Novo Horizonte do Oeste (RO),3559,11
Cacaulândia (RO),1705,1057
Campo Novo de Rondônia (RO),3022,91
Candeias do Jamari (RO),6874,30
Castanheiras (RO),4431,11
Chupinguaia (RO),43290,-
Cujubim (RO),5745,78
Governador Jorge Teixeira (RO),2383,1437
Itapuã do Oeste (RO),2473,-
Ministro Andreazza (RO),6413,146
Mirante da Serra (RO),6214,685
Monte Negro (RO),2704,311
Nova União (RO),2129,348
Parecis (RO),867,7
Pimenteiras do Oeste (RO),41280,-
Primavera de Rondônia (RO),883,11
São Felipe D'Oeste (RO),2935,65
São Francisco do Guaporé (RO),1951,-
Seringueiras (RO),9407,10
Teixeirópolis (RO),614,114
Theobroma (RO),2731,384
Urupá (RO),2553,986
Vale do Anari (RO),1937,58
Vale do Paraíso (RO),953,509
Acrelândia (AC),7290,-
Assis Brasil (AC),2430,-
Brasiléia (AC),4330,-
Bujari (AC),5463,-
Capixaba (AC),7773,-
Cruzeiro do Sul (AC),6682,-
Epitaciolândia (AC),4135,-
Feijó (AC),7686,-
Jordão (AC),1594,-
Mâncio Lima (AC),5124,-
Manoel Urbano (AC),2440,-
Marechal Thaumaturgo (AC),4559,-
Plácido de Castro (AC),4600,-
Porto Walter (AC),2271,-
Rio Branco (AC),7555,-
Rodrigues Alves (AC),6089,-
Santa Rosa do Purus (AC),773,-
Senador Guiomard (AC),6385,-
Sena Madureira (AC),10980,-
Tarauacá (AC),7125,-
Xapuri (AC),4568,-
Porto Acre (AC),6735,-
Alvarães (AM),474,18
Amaturá (AM),361,-
Anamã (AM),724,-
Anori (AM),745,-
Apuí (AM),3855,650
Atalaia do Norte (AM),1104,-
Autazes (AM),2445,160
Barcelos (AM),482,3
Barreirinha (AM),396,8
Benjamin Constant (AM),717,-
Beruri (AM),683,-
Boa Vista do Ramos (AM),552,10
Boca do Acre (AM),1561,230
Borba (AM),1484,700
Caapiranga (AM),418,-
Canutama (AM),49,-
Carauari (AM),783,-
Careiro (AM),1914,-
Careiro da Várzea (AM),443,-
Coari (AM),2266,206
Codajás (AM),513,32
Eirunepé (AM),1216,-
Envira (AM),1812,-
Fonte Boa (AM),748,480
Guajará (AM),2201,-
Humaitá (AM),2151,50
Ipixuna (AM),309,-
Iranduba (AM),1340,-
Itacoatiara (AM),5730,45
Itamarati (AM),415,-
Itapiranga (AM),518,25
Japurá (AM),301,-
Juruá (AM),181,-
Jutaí (AM),2146,270
Lábrea (AM),1079,-
Manacapuru (AM),23375,45
Manaquiri (AM),1813,-
Manaus (AM),670,-
Manicoré (AM),10263,350
Maraã (AM),680,44
Maués (AM),6244,5
Nhamundá (AM),879,-
Nova Olinda do Norte (AM),2038,60
Novo Airão (AM),484,-
Novo Aripuanã (AM),784,50
Parintins (AM),2955,3
Pauini (AM),904,11
Presidente Figueiredo (AM),8780,-
Rio Preto da Eva (AM),4140,-
Santa Isabel do Rio Negro (AM),1509,-
Santo Antônio do Içá (AM),451,-
São Gabriel da Cachoeira (AM),442,-
São Paulo de Olivença (AM),176,-
São Sebastião do Uatumã (AM),294,-
Silves (AM),1264,12
Tabatinga (AM),475,-
Tapauá (AM),3099,-
Tefé (AM),5610,10
Tonantins (AM),366,-
Uarini (AM),3560,28
Urucará (AM),1009,12
Urucurituba (AM),256,40
Amajari (RR),1174,-
Alto Alegre (RR),12558,-
Boa Vista (RR),11205,-
Bonfim (RR),12251,-
Cantá (RR),2775,-
Caracaraí (RR),3871,-
Caroebe (RR),5453,15
Iracema (RR),1630,-
Mucajaí (RR),2356,-
Normandia (RR),1716,-
Pacaraima (RR),1114,-
