local,total_area_plantada_hectare,total_cacau_semente_hectare
Igarapé-Açu (PA),8095,-
Igarapé-Miri (PA),47820,458
Inhangapi (PA),3980,300
Ipixuna do Pará (PA),14761,5
Irituia (PA),3851,2
Itaituba (PA),7527,200
Itupiranga (PA),7823,100
Jacareacanga (PA),3175,4
Jacundá (PA),82,-
Juruti (PA),12166,-
Limoeiro do Ajuru (PA),7317,80
Mãe do Rio (PA),1829,-
Magalhães Barata (PA),1145,-
Marabá (PA),14049,-
Maracanã (PA),2329,-
Marapanim (PA),974,-
Marituba (PA),...,...
Medicilândia (PA),49861,44101
Melgaço (PA),3258,12
Mocajuba (PA),21167,700
Moju (PA),27768,80
Mojuí dos Campos (PA),31964,-
Monte Alegre (PA),17750,261
Muaná (PA),5310,-
Nova Esperança do Piriá (PA),5975,-
Nova Ipixuna (PA),1166,6
Nova Timboteua (PA),1997,-
Novo Progresso (PA),19711,10
Novo Repartimento (PA),6975,4167
Óbidos (PA),21167,-
Oeiras do Pará (PA),7926,90
Oriximiná (PA),15406,-
Ourém (PA),2005,-
Ourilândia do Norte (PA),1528,830
Pacajá (PA),11827,5481
Palestina do Pará (PA),825,-
Paragominas (PA),188139,26
Parauapebas (PA),9582,90
Pau D'Arco (PA),617,-
Peixe-Boi (PA),1563,-
Piçarra (PA),4812,-
Placas (PA),15724,10355
Ponta de Pedras (PA),3655,-
Portel (PA),16527,-
Porto de Moz (PA),1206,12
Prainha (PA),4868,40
Primavera (PA),581,-
Quatipuru (PA),635,-
Redenção (PA),10573,-
Rio Maria (PA),1372,-
Rondon do Pará (PA),38266,-
Rurópolis (PA),8808,1299
Salinópolis (PA),722,-
Salvaterra (PA),2293,-
Santa Bárbara do Pará (PA),435,-
Santa Izabel do Pará (PA),6348,388
Santa Luzia do Pará (PA),2010,-
Santa Maria das Barreiras (PA),88690,-
Santa Maria do Pará (PA),6270,-
Santana do Araguaia (PA),103175,-
Santarém (PA),34233,168
Santarém Novo (PA),1543,-
Santo Antônio do Tauá (PA),5110,-
São Caetano de Odivelas (PA),988,-
São Domingos do Araguaia (PA),3605,30
São Domingos do Capim (PA),12095,250
São Félix do Xingu (PA),11801,3600
São Francisco do Pará (PA),5875,-
São Geraldo do Araguaia (PA),6005,720
São João da Ponta (PA),483,3
São João de Pirabas (PA),353,-
São João do Araguaia (PA),1872,-
São Miguel do Guamá (PA),7416,-
São Sebastião da Boa Vista (PA),5550,-
Sapucaia (PA),706,-
Senador José Porfírio (PA),5937,4156
Soure (PA),110,-
Tailândia (PA),85780,70
Terra Alta (PA),469,-
Terra Santa (PA),98,-
Tomé-Açu (PA),49274,3770
Tracuateua (PA),5246,-
Trairão (PA),13685,1450
Tucumã (PA),6229,4600
Tucuruí (PA),58,11
Ulianópolis (PA),77328,4
Uruará (PA),21292,16607
Vigia (PA),1045,-
Viseu (PA),8224,-
Vitória do Xingu (PA),6572,5152
Xinguara (PA),1459,90
Serra do Navio (AP),802,-
Amapá (AP),689,-
Pedra Branca do Amapari (AP),1475,-
Calçoene (AP),1004,-
Cutias (AP),396,-
Ferreira Gomes (AP),1323,-
Itaubal (AP),4049,-
Laranjal do Jari (AP),1409,-
Macapá (AP),9603,-
Mazagão (AP),1322,-
Oiapoque (AP),2082,-
Porto Grande (AP),2648,-
Pracuúba (AP),595,-
Santana (AP),1058,-
Tartarugalzinho (AP),7924,-
Vitória do Jari (AP),955,-
Abreulândia (TO),10665,-
Aguiarnópolis (TO),406,-
Aliança do Tocantins (TO),7364,-
Almas (TO),11282,-
Alvorada (TO),28165,-
Ananás (TO),1058,-
Angico (TO),556,-
Aparecida do Rio Negro (TO),38680,-
Aragominas (TO),1422,-
Araguacema (TO),25630,-
Araguaçu (TO),10448,-
Araguaína (TO),8260,-
Araguanã (TO),21,-
Araguatins (TO),1184,-
Arapoema (TO),2076,-
Arraias (TO),1090,-
Augustinópolis (TO),243,-
Aurora do Tocantins (TO),237,-
Axixá do Tocantins (TO),279,-
Babaçulândia (TO),3362,-
