local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,77337268,732585
Alta Floresta D'Oeste (RO),19953,50
Ariquemes (RO),6433,1394
Cabixi (RO),32107,28
Cacoal (RO),17779,266
Cerejeiras (RO),42744,5
Colorado do Oeste (RO),5238,182
Corumbiara (RO),58694,16
Costa Marques (RO),492,-
Espigão D'Oeste (RO),5303,10
Guajará-Mirim (RO),661,-
Jaru (RO),4482,1601
Ji-Paraná (RO),2686,204
Machadinho D'Oeste (RO),17847,252
Nova Brasilândia D'Oeste (RO),6179,7
Ouro Preto do Oeste (RO),2140,1300
Pimenta Bueno (RO),2469,4
Porto Velho (RO),40474,526
Presidente Médici (RO),1296,12
Rio Crespo (RO),16810,110
Rolim de Moura (RO),6939,24
Santa Luzia D'Oeste (RO),3840,10
Vilhena (RO),100668,5
São Miguel do Guaporé (RO),25886,7
Nova Mamoré (RO),3143,32
Alvorada D'Oeste (RO),3099,-
Alto Alegre dos Parecis (RO),23860,35
Alto Paraíso (RO),16977,40
Buritis (RO),5725,907
Novo Horizonte do Oeste (RO),3198,11
Cacaulândia (RO),1514,740
Campo Novo de Rondônia (RO),2497,160
Candeias do Jamari (RO),5089,-
Castanheiras (RO),4435,11
Chupinguaia (RO),39316,-
Cujubim (RO),9333,78
Governador Jorge Teixeira (RO),1696,800
Itapuã do Oeste (RO),3871,-
Ministro Andreazza (RO),6317,46
Mirante da Serra (RO),5840,535
Monte Negro (RO),1644,140
Nova União (RO),1749,195
Parecis (RO),507,2
Pimenteiras do Oeste (RO),41386,-
Primavera de Rondônia (RO),944,5
São Felipe D'Oeste (RO),2655,65
São Francisco do Guaporé (RO),3210,-
Seringueiras (RO),7731,10
Teixeirópolis (RO),897,245
Theobroma (RO),3361,384
Urupá (RO),2109,993
Vale do Anari (RO),1993,58
Vale do Paraíso (RO),1064,467
Acrelândia (AC),6259,-
Assis Brasil (AC),2073,-
Brasiléia (AC),3650,-
Bujari (AC),5039,-
Capixaba (AC),6719,-
Cruzeiro do Sul (AC),5776,-
Epitaciolândia (AC),3758,-
Feijó (AC),8481,-
Jordão (AC),1744,-
Mâncio Lima (AC),5255,-
Manoel Urbano (AC),2161,-
Marechal Thaumaturgo (AC),4946,-
Plácido de Castro (AC),3457,-
Porto Walter (AC),2496,-
Rio Branco (AC),5878,-
Rodrigues Alves (AC),6408,-
Santa Rosa do Purus (AC),841,-
Senador Guiomard (AC),6049,-
Sena Madureira (AC),7948,-
Tarauacá (AC),8790,-
Xapuri (AC),3690,-
Porto Acre (AC),5876,-
Alvarães (AM),5378,9
Amaturá (AM),438,-
Anamã (AM),649,-
Anori (AM),443,-
Apuí (AM),1179,34
Atalaia do Norte (AM),520,-
Autazes (AM),4370,80
Barcelos (AM),576,3
Barreirinha (AM),352,1
Benjamin Constant (AM),1205,-
Beruri (AM),702,-
Boa Vista do Ramos (AM),445,-
Boca do Acre (AM),1253,230
Borba (AM),1576,500
Caapiranga (AM),390,-
Canutama (AM),177,-
Carauari (AM),825,-
Careiro (AM),1127,-
Careiro da Várzea (AM),368,-
Coari (AM),1775,230
Codajás (AM),429,20
Eirunepé (AM),1329,-
Envira (AM),2261,-
Fonte Boa (AM),380,80
Guajará (AM),987,-
Humaitá (AM),3191,15
Ipixuna (AM),224,-
Iranduba (AM),1311,-
Itacoatiara (AM),7044,25
Itamarati (AM),69,-
Itapiranga (AM),592,25
Japurá (AM),411,-
Juruá (AM),101,-
Jutaí (AM),1490,110
Lábrea (AM),1037,-
Manacapuru (AM),16208,2
Manaquiri (AM),1555,-
Manaus (AM),859,-
Manicoré (AM),9905,300
Maraã (AM),4194,-
Maués (AM),4589,-
Nhamundá (AM),811,-
Nova Olinda do Norte (AM),1942,60
Novo Airão (AM),257,-
Novo Aripuanã (AM),1037,80
Parintins (AM),1895,-
Pauini (AM),748,11
Presidente Figueiredo (AM),6887,-
Rio Preto da Eva (AM),3685,-
Santa Isabel do Rio Negro (AM),705,-
Santo Antônio do Içá (AM),498,-
São Gabriel da Cachoeira (AM),510,-
São Paulo de Olivença (AM),500,-
São Sebastião do Uatumã (AM),1111,-
Silves (AM),1209,12
Tabatinga (AM),491,-
Tapauá (AM),3209,-
Tefé (AM),8609,25
Tonantins (AM),275,-
Uarini (AM),6097,-
Urucará (AM),1204,29
Urucurituba (AM),31,-
Amajari (RR),1793,-
Alto Alegre (RR),12615,-
Boa Vista (RR),8400,-
Bonfim (RR),16349,-
Cantá (RR),2522,-
Caracaraí (RR),1785,-
Caroebe (RR),5113,13
Iracema (RR),1500,-
Mucajaí (RR),2065,-
Normandia (RR),2255,-
Pacaraima (RR),1531,-
Rorainópolis (RR),2891,-
São João da Baliza (RR),2004,-
São Luiz (RR),1410,-
Uiramutã (RR),1888,-
Abaetetuba (PA),24480,80
Abel Figueiredo (PA),1158,-
Acará (PA),40077,1000
Afuá (PA),140,-
Água Azul do Norte (PA),4687,30
Alenquer (PA),13797,417
Almeirim (PA),1057,120
Altamira (PA),19179,7369
Anajás (PA),240,-
Ananindeua (PA),12,-
Anapu (PA),7459,5257
Augusto Corrêa (PA),6347,-
Aurora do Pará (PA),4305,-
Aveiro (PA),3409,300
Bagre (PA),154,-
Baião (PA),2494,250
Bannach (PA),141,8
Barcarena (PA),11540,1200
Belém (PA),...,...
Belterra (PA),22696,-
Benevides (PA),...,...
Bom Jesus do Tocantins (PA),3059,-
Bonito (PA),10625,-
Bragança (PA),6780,-
Brasil Novo (PA),6864,5598
Brejo Grande do Araguaia (PA),1255,-
Breu Branco (PA),7597,215
Breves (PA),1001,-
Bujaru (PA),8567,-
Cachoeira do Piriá (PA),1878,-
Cachoeira do Arari (PA),5460,-
Cametá (PA),33054,6396
Canaã dos Carajás (PA),4319,-
Capanema (PA),5133,-
Capitão Poço (PA),16560,-
Castanhal (PA),12540,120
Chaves (PA),70,-
Colares (PA),338,-
Conceição do Araguaia (PA),4355,-
Concórdia do Pará (PA),23895,270
Cumaru do Norte (PA),23530,55
Curionópolis (PA),2680,-
Curralinho (PA),1103,-
Curuá (PA),646,-
Curuçá (PA),1851,-
Dom Eliseu (PA),91808,-
Eldorado do Carajás (PA),2773,120
Faro (PA),719,-
Floresta do Araguaia (PA),21700,-
Garrafão do Norte (PA),5645,-
Goianésia do Pará (PA),4265,-
Gurupá (PA),1076,70
Igarapé-Açu (PA),9011,-
Igarapé-Miri (PA),38750,458
Inhangapi (PA),4716,80
Ipixuna do Pará (PA),8210,-
Irituia (PA),3930,8
Itaituba (PA),6759,200
Itupiranga (PA),7667,100
Jacareacanga (PA),2593,2
Jacundá (PA),3241,-
Juruti (PA),12357,-
Limoeiro do Ajuru (PA),6922,55
Mãe do Rio (PA),1883,-
Magalhães Barata (PA),1130,-
