local,total_area_plantada_hectare,total_cacau_semente_hectare
Marabá (PA),13129,-
Maracanã (PA),1892,-
Marapanim (PA),2271,-
Marituba (PA),...,...
Medicilândia (PA),42502,38569
Melgaço (PA),1425,-
Mocajuba (PA),3547,1200
Moju (PA),27768,80
Mojuí dos Campos (PA),22903,-
Monte Alegre (PA),20344,111
Muaná (PA),2714,30
Nova Esperança do Piriá (PA),2395,-
Nova Ipixuna (PA),1546,6
Nova Timboteua (PA),1895,-
Novo Progresso (PA),34472,10
Novo Repartimento (PA),27642,10731
Óbidos (PA),13940,-
Oeiras do Pará (PA),12092,100
Oriximiná (PA),15525,-
Ourém (PA),1707,-
Ourilândia do Norte (PA),1004,420
Pacajá (PA),9866,4199
Palestina do Pará (PA),910,-
Paragominas (PA),124998,-
Parauapebas (PA),9335,90
Pau D'Arco (PA),1350,-
Peixe-Boi (PA),1688,-
Piçarra (PA),5566,274
Placas (PA),15993,9843
Ponta de Pedras (PA),3414,-
Portel (PA),34520,-
Porto de Moz (PA),1206,12
Prainha (PA),2960,40
Primavera (PA),1299,-
Quatipuru (PA),622,-
Redenção (PA),10838,-
Rio Maria (PA),1572,-
Rondon do Pará (PA),41986,-
Rurópolis (PA),9323,1299
Salinópolis (PA),786,-
Salvaterra (PA),1090,-
Santa Bárbara do Pará (PA),50,-
Santa Izabel do Pará (PA),1205,-
Santa Luzia do Pará (PA),1921,-
Santa Maria das Barreiras (PA),24656,-
Santa Maria do Pará (PA),6567,-
Santana do Araguaia (PA),72376,-
Santarém (PA),48632,151
Santarém Novo (PA),960,-
Santo Antônio do Tauá (PA),10050,-
São Caetano de Odivelas (PA),997,-
São Domingos do Araguaia (PA),3895,30
São Domingos do Capim (PA),12970,270
São Félix do Xingu (PA),20006,2600
São Francisco do Pará (PA),5372,-
São Geraldo do Araguaia (PA),8430,1020
São João da Ponta (PA),646,-
São João de Pirabas (PA),515,-
São João do Araguaia (PA),2412,-
São Miguel do Guamá (PA),7672,-
São Sebastião da Boa Vista (PA),2070,-
Sapucaia (PA),505,-
Senador José Porfírio (PA),4584,1800
Soure (PA),50,-
Tailândia (PA),36305,30
Terra Alta (PA),1362,-
Terra Santa (PA),99,-
Tomé-Açu (PA),23855,3400
Tracuateua (PA),5451,-
Trairão (PA),12037,1450
Tucumã (PA),5192,3900
Tucuruí (PA),18070,1400
Ulianópolis (PA),75380,-
Uruará (PA),17837,13006
Vigia (PA),1067,-
Viseu (PA),15065,-
Vitória do Xingu (PA),5495,4169
Xinguara (PA),2489,175
Serra do Navio (AP),1100,-
Amapá (AP),475,-
Pedra Branca do Amapari (AP),1901,-
Calçoene (AP),1265,-
Cutias (AP),419,-
Ferreira Gomes (AP),776,-
Itaubal (AP),4654,-
Laranjal do Jari (AP),1709,-
Macapá (AP),12829,-
Mazagão (AP),1657,-
Oiapoque (AP),2583,-
Porto Grande (AP),2097,-
Pracuúba (AP),677,-
Santana (AP),1088,-
Tartarugalzinho (AP),3231,-
Vitória do Jari (AP),1190,-
Abreulândia (TO),3619,-
Aguiarnópolis (TO),279,-
Aliança do Tocantins (TO),5295,-
Almas (TO),9035,-
Alvorada (TO),24290,-
Ananás (TO),71,-
Angico (TO),349,-
Aparecida do Rio Negro (TO),23676,-
Aragominas (TO),1450,-
Araguacema (TO),10823,-
Araguaçu (TO),10060,-
Araguaína (TO),8946,-
Araguanã (TO),531,-
Araguatins (TO),985,-
Arapoema (TO),2380,-
Arraias (TO),1775,-
Augustinópolis (TO),196,-
Aurora do Tocantins (TO),839,-
Axixá do Tocantins (TO),376,-
Babaçulândia (TO),3975,-
Bandeirantes do Tocantins (TO),630,-
Barra do Ouro (TO),13237,-
Barrolândia (TO),592,-
Bernardo Sayão (TO),630,-
Bom Jesus do Tocantins (TO),13958,-
Brasilândia do Tocantins (TO),220,-
Brejinho de Nazaré (TO),23968,-
Buriti do Tocantins (TO),55,-
Cachoeirinha (TO),246,-
Campos Lindos (TO),100674,-
Cariri do Tocantins (TO),16299,-
Carmolândia (TO),421,-
Carrasco Bonito (TO),198,-
Caseara (TO),63059,-
Centenário (TO),3620,-
Chapada de Areia (TO),170,-
Chapada da Natividade (TO),16360,-
Colinas do Tocantins (TO),130,-
Combinado (TO),845,-
Conceição do Tocantins (TO),552,-
Couto Magalhães (TO),4115,-
Cristalândia (TO),6644,-
Crixás do Tocantins (TO),8689,-
Darcinópolis (TO),12871,-
Dianópolis (TO),1493,-
Divinópolis do Tocantins (TO),7833,-
Dois Irmãos do Tocantins (TO),1203,-
Dueré (TO),15503,-
Esperantina (TO),375,-
Fátima (TO),1300,-
Figueirópolis (TO),24991,-
Filadélfia (TO),931,-
Formoso do Araguaia (TO),45042,-
Tabocão (TO),4055,-
Goianorte (TO),740,-
Goiatins (TO),33584,-
Guaraí (TO),15680,-
Gurupi (TO),8142,-
Ipueiras (TO),7610,-
Itacajá (TO),5150,-
Itaguatins (TO),184,-
Itapiratins (TO),7200,-
Itaporã do Tocantins (TO),349,-
Jaú do Tocantins (TO),313,-
Juarina (TO),580,-
Lagoa da Confusão (TO),85115,-
Lagoa do Tocantins (TO),3080,-
Lajeado (TO),380,-
Lavandeira (TO),591,-
Lizarda (TO),3280,-
Luzinópolis (TO),441,-
Marianópolis do Tocantins (TO),19242,-
Mateiros (TO),43116,-
Maurilândia do Tocantins (TO),133,-
Miracema do Tocantins (TO),7820,-
Miranorte (TO),3080,-
Monte do Carmo (TO),34950,-
Monte Santo do Tocantins (TO),475,-
Palmeiras do Tocantins (TO),80,-
Muricilândia (TO),472,-
Natividade (TO),2870,-
Nazaré (TO),67,-
Nova Olinda (TO),1033,-
Nova Rosalândia (TO),4055,-
Novo Acordo (TO),3400,-
Novo Alegre (TO),636,-
Novo Jardim (TO),985,-
Oliveira de Fátima (TO),1687,-
Palmeirante (TO),17065,-
Palmeirópolis (TO),2862,-
Paraíso do Tocantins (TO),2420,-
Paranã (TO),592,-
Pau D'Arco (TO),360,-
Pedro Afonso (TO),50750,-
Peixe (TO),50421,-
Pequizeiro (TO),620,-
Colméia (TO),217,-
Pindorama do Tocantins (TO),94,-
Piraquê (TO),5932,-
Pium (TO),25653,-
Ponte Alta do Bom Jesus (TO),1510,-
Ponte Alta do Tocantins (TO),440,-
Porto Alegre do Tocantins (TO),1083,-
Porto Nacional (TO),55674,-
Praia Norte (TO),276,-
Presidente Kennedy (TO),1095,-
Pugmil (TO),2747,-
Recursolândia (TO),3290,-
Riachinho (TO),183,-
Rio da Conceição (TO),232,-
Rio dos Bois (TO),8800,-
Rio Sono (TO),1520,-
Sampaio (TO),171,-
Sandolândia (TO),514,-
Santa Fé do Araguaia (TO),17820,-
Santa Maria do Tocantins (TO),12780,-
Santa Rita do Tocantins (TO),10330,-
Santa Rosa do Tocantins (TO),31200,-
Santa Tereza do Tocantins (TO),157,-
Santa Terezinha do Tocantins (TO),43,-
São Bento do Tocantins (TO),784,-
São Félix do Tocantins (TO),70,-
São Miguel do Tocantins (TO),107,-
São Salvador do Tocantins (TO),176,-
São Sebastião do Tocantins (TO),83,-
São Valério (TO),16535,-
Silvanópolis (TO),38003,-
Sítio Novo do Tocantins (TO),121,-
Sucupira (TO),14452,-
Taguatinga (TO),5970,-
Taipas do Tocantins (TO),448,-
Talismã (TO),13063,-
Palmas (TO),15104,-
Tocantínia (TO),3255,-
Tocantinópolis (TO),45,-
Tupirama (TO),16855,-
Tupiratins (TO),1430,-
Wanderlândia (TO),1945,-
Xambioá (TO),873,-
Açailândia (MA),19527,-
Afonso Cunha (MA),4868,-
Água Doce do Maranhão (MA),2479,-
Alcântara (MA),1620,-
Aldeias Altas (MA),9451,-
Altamira do Maranhão (MA),1910,-
Alto Alegre do Maranhão (MA),512,-
Alto Alegre do Pindaré (MA),3372,-
Alto Parnaíba (MA),60328,-
Amapá do Maranhão (MA),901,-
Amarante do Maranhão (MA),3930,-
Anajatuba (MA),1750,-
Anapurus (MA),12209,-
Apicum-Açu (MA),545,-
Araguanã (MA),1772,-
Araioses (MA),5861,-
Arame (MA),11440,-
Arari (MA),3500,-
Axixá (MA),778,-
Bacabal (MA),3452,-
Bacabeira (MA),547,-
Bacuri (MA),928,-
Bacurituba (MA),466,-
Balsas (MA),240764,-
Barão de Grajaú (MA),2133,-
Barra do Corda (MA),9994,-
Barreirinhas (MA),9961,-
Belágua (MA),2969,-
Bela Vista do Maranhão (MA),757,-
Benedito Leite (MA),2916,-
Bequimão (MA),3565,-
Bernardo do Mearim (MA),1789,-
Boa Vista do Gurupi (MA),424,-
Bom Jardim (MA),13370,-
Bom Jesus das Selvas (MA),8947,-
Bom Lugar (MA),2390,-
Brejo (MA),29638,-
Brejo de Areia (MA),5370,-
Buriti (MA),17653,-
Buriti Bravo (MA),4886,-
Buriticupu (MA),17435,-
Buritirana (MA),315,-
Cachoeira Grande (MA),1960,-
Cajapió (MA),858,-
Cajari (MA),1343,-
Campestre do Maranhão (MA),6480,-
Cândido Mendes (MA),2209,-
Cantanhede (MA),5712,-
Capinzal do Norte (MA),1812,-
Carolina (MA),41942,-
Carutapera (MA),2580,-
Caxias (MA),10300,-
Cedral (MA),763,-
Central do Maranhão (MA),880,-
Centro do Guilherme (MA),2717,-
Centro Novo do Maranhão (MA),2984,-
Chapadinha (MA),9168,-
Cidelândia (MA),509,-
Codó (MA),8270,-
Coelho Neto (MA),7429,-
Colinas (MA),10905,-
Conceição do Lago-Açu (MA),1530,-
Coroatá (MA),5179,-
Cururupu (MA),656,-
Davinópolis (MA),287,-
Dom Pedro (MA),1610,-
Duque Bacelar (MA),1979,-
Esperantinópolis (MA),2182,-
Estreito (MA),1609,-
Feira Nova do Maranhão (MA),2470,-
Fernando Falcão (MA),3159,-
Formosa da Serra Negra (MA),4229,-
Fortaleza dos Nogueiras (MA),16399,-
Fortuna (MA),2737,-
Godofredo Viana (MA),932,-
Gonçalves Dias (MA),1233,-
Governador Archer (MA),630,-
Governador Edison Lobão (MA),328,-
Governador Eugênio Barros (MA),2976,-
Governador Luiz Rocha (MA),2319,-
Governador Newton Bello (MA),1927,-
Governador Nunes Freire (MA),1985,-
Graça Aranha (MA),1271,-
Grajaú (MA),25521,-
Guimarães (MA),1298,-
Humberto de Campos (MA),446,-
Icatu (MA),2207,-
Igarapé do Meio (MA),836,-
Igarapé Grande (MA),2018,-
Imperatriz (MA),336,-
Itaipava do Grajaú (MA),1676,-
Itapecuru Mirim (MA),5055,-
Itinga do Maranhão (MA),13103,-
Jatobá (MA),3343,-
Jenipapo dos Vieiras (MA),3064,-
João Lisboa (MA),363,-
Joselândia (MA),1136,-
Junco do Maranhão (MA),879,-
Lago da Pedra (MA),4615,-
Lago do Junco (MA),1719,-
Lago Verde (MA),2299,-
Lagoa do Mato (MA),3453,-
Lago dos Rodrigues (MA),1677,-
Lagoa Grande do Maranhão (MA),1225,-
Lajeado Novo (MA),532,-
Lima Campos (MA),1447,-
Loreto (MA),43911,-
Luís Domingues (MA),895,-
Magalhães de Almeida (MA),6123,-
Maracaçumé (MA),1901,-
Marajá do Sena (MA),1760,-
Maranhãozinho (MA),3151,-
Mata Roma (MA),13209,-
Matinha (MA),2204,-
Matões (MA),3407,-
Matões do Norte (MA),5115,-
Milagres do Maranhão (MA),5863,-
Mirador (MA),19144,-
Miranda do Norte (MA),1472,-
Mirinzal (MA),1183,-
Monção (MA),3300,-
Montes Altos (MA),848,-
Morros (MA),1909,-
Nina Rodrigues (MA),3759,-
Nova Colinas (MA),7443,-
Nova Iorque (MA),2036,-
Nova Olinda do Maranhão (MA),2330,-
Olho d'Água das Cunhãs (MA),2289,-
Olinda Nova do Maranhão (MA),2126,-
Paço do Lumiar (MA),93,-
Palmeirândia (MA),3490,-
Paraibano (MA),5255,-
Parnarama (MA),8369,-
Passagem Franca (MA),3565,-
Pastos Bons (MA),10821,-
Paulino Neves (MA),2685,-
Paulo Ramos (MA),5162,-
Pedreiras (MA),2259,-
Pedro do Rosário (MA),2320,-
Penalva (MA),3757,-
Peri Mirim (MA),1551,-
Peritoró (MA),2132,-
Pindaré-Mirim (MA),725,-
Pinheiro (MA),4691,-
Pio XII (MA),1975,-
Pirapemas (MA),4557,-
Poção de Pedras (MA),2494,-
Porto Franco (MA),796,-
Porto Rico do Maranhão (MA),1024,-
Presidente Dutra (MA),2465,-
Presidente Juscelino (MA),1693,-
Presidente Médici (MA),918,-
Presidente Sarney (MA),3201,-
Presidente Vargas (MA),3112,-
Primeira Cruz (MA),948,-
Raposa (MA),47,-
Riachão (MA),59407,-
Ribamar Fiquene (MA),1083,-
Rosário (MA),1479,-
Sambaíba (MA),67429,-
Santa Filomena do Maranhão (MA),942,-
Santa Helena (MA),1614,-
Santa Inês (MA),2010,-
Santa Luzia (MA),16089,-
Santa Luzia do Paruá (MA),1575,-
Santa Quitéria do Maranhão (MA),5584,-
Santa Rita (MA),3442,-
Santana do Maranhão (MA),3068,-
Santo Amaro do Maranhão (MA),2423,-
Santo Antônio dos Lopes (MA),1967,-
São Benedito do Rio Preto (MA),4456,-
São Bento (MA),1760,-
São Bernardo (MA),5083,-
São Domingos do Azeitão (MA),30940,-
São Domingos do Maranhão (MA),10421,-
São Félix de Balsas (MA),5672,-
São Francisco do Brejão (MA),199,-
São Francisco do Maranhão (MA),4054,-
São João Batista (MA),1341,-
São João do Carú (MA),3300,-
São João do Paraíso (MA),714,-
São João do Soter (MA),3083,-
São João dos Patos (MA),5075,-
São José de Ribamar (MA),37,-
São José dos Basílios (MA),1722,-
São Luís (MA),169,-
São Luís Gonzaga do Maranhão (MA),3339,-
São Mateus do Maranhão (MA),6460,-
São Pedro da Água Branca (MA),169,-
São Pedro dos Crentes (MA),3555,-
São Raimundo das Mangabeiras (MA),51331,-
São Raimundo do Doca Bezerra (MA),1409,-
São Roberto (MA),844,-
São Vicente Ferrer (MA),2202,-
Satubinha (MA),1355,-
Senador Alexandre Costa (MA),4236,-
Senador La Rocque (MA),184,-
Serrano do Maranhão (MA),2325,-
Sítio Novo (MA),2732,-
Sucupira do Norte (MA),6687,-
Sucupira do Riachão (MA),2108,-
Tasso Fragoso (MA),200544,-
Timbiras (MA),4122,-
Timon (MA),6757,-
Trizidela do Vale (MA),1365,-
Tufilândia (MA),375,-
Tuntum (MA),9536,-
Turiaçu (MA),6413,-
Turilândia (MA),2942,-
Tutóia (MA),4487,-
Urbano Santos (MA),6237,-
Vargem Grande (MA),3907,-
Viana (MA),3681,-
Vila Nova dos Martírios (MA),2814,-
Vitória do Mearim (MA),3123,-
Vitorino Freire (MA),2525,-
Zé Doca (MA),6348,-
Acauã (PI),5723,-
Agricolândia (PI),2394,-
Água Branca (PI),815,-
Alagoinha do Piauí (PI),10623,-
Alegrete do Piauí (PI),3106,-
Alto Longá (PI),2988,-
Altos (PI),3268,-
Alvorada do Gurguéia (PI),11464,-
Amarante (PI),3609,-
Angical do Piauí (PI),1192,-
Anísio de Abreu (PI),4299,-
Antônio Almeida (PI),6513,-
Aroazes (PI),1633,-
Aroeiras do Itaim (PI),2244,-
Arraial (PI),1180,-
Assunção do Piauí (PI),4328,-
Avelino Lopes (PI),2510,-
Baixa Grande do Ribeiro (PI),198945,-
Barra D'Alcântara (PI),1021,-
Barras (PI),5665,-
Barreiras do Piauí (PI),438,-
Barro Duro (PI),1671,-
Batalha (PI),5949,-
Bela Vista do Piauí (PI),2114,-
Belém do Piauí (PI),3293,-
Beneditinos (PI),2535,-
Bertolínia (PI),537,-
Betânia do Piauí (PI),5860,-
Boa Hora (PI),1818,-
Bocaina (PI),2358,-
Bom Jesus (PI),83200,-
Bom Princípio do Piauí (PI),9056,-
Bonfim do Piauí (PI),2700,-
Boqueirão do Piauí (PI),642,-
Brasileira (PI),2553,-
Brejo do Piauí (PI),1393,-
Buriti dos Lopes (PI),5115,-
Buriti dos Montes (PI),4312,-
Cabeceiras do Piauí (PI),1933,-
Cajazeiras do Piauí (PI),1470,-
Cajueiro da Praia (PI),2423,-
Caldeirão Grande do Piauí (PI),6472,-
Campinas do Piauí (PI),3184,-
Campo Alegre do Fidalgo (PI),1452,-
Campo Grande do Piauí (PI),6687,-
Campo Largo do Piauí (PI),845,-
Campo Maior (PI),3794,-
Canavieira (PI),975,-
Canto do Buriti (PI),10832,-
Capitão de Campos (PI),3901,-
Capitão Gervásio Oliveira (PI),1808,-
Caracol (PI),5255,-
Caraúbas do Piauí (PI),1557,-
Caridade do Piauí (PI),2880,-
Castelo do Piauí (PI),3850,-
Caxingó (PI),1876,-
Cocal (PI),19424,-
Cocal de Telha (PI),593,-
Cocal dos Alves (PI),5867,-
Coivaras (PI),1365,-
Colônia do Gurguéia (PI),845,-
Colônia do Piauí (PI),2882,-
Conceição do Canindé (PI),1730,-
Coronel José Dias (PI),1180,-
Corrente (PI),18864,-
Cristalândia do Piauí (PI),2270,-
Cristino Castro (PI),1203,-
Curimatá (PI),2300,-
Currais (PI),39161,-
Curralinhos (PI),876,-
Curral Novo do Piauí (PI),2490,-
Demerval Lobão (PI),1260,-
Dirceu Arcoverde (PI),1472,-
Dom Expedito Lopes (PI),4215,-
Domingos Mourão (PI),2333,-
Dom Inocêncio (PI),4616,-
Elesbão Veloso (PI),5216,-
Eliseu Martins (PI),1276,-
Esperantina (PI),4700,-
Fartura do Piauí (PI),1545,-
Flores do Piauí (PI),1887,-
Floresta do Piauí (PI),1697,-
Floriano (PI),3956,-
Francinópolis (PI),2241,-
Francisco Ayres (PI),2417,-
Francisco Macedo (PI),850,-
Francisco Santos (PI),5153,-
Fronteiras (PI),6443,-
Geminiano (PI),3992,-
Gilbués (PI),38207,-
Guadalupe (PI),1485,-
Guaribas (PI),2355,-
Hugo Napoleão (PI),2037,-
Ilha Grande (PI),657,-
Inhuma (PI),8882,-
Ipiranga do Piauí (PI),2849,-
Isaías Coelho (PI),5050,-
Itainópolis (PI),7804,-
Itaueira (PI),7078,-
Jacobina do Piauí (PI),3155,-
Jaicós (PI),8957,-
Jardim do Mulato (PI),890,-
Jatobá do Piauí (PI),2090,-
Jerumenha (PI),340,-
João Costa (PI),2381,-
Joaquim Pires (PI),2115,-
Joca Marques (PI),757,-
José de Freitas (PI),7005,-
Juazeiro do Piauí (PI),1197,-
Júlio Borges (PI),1410,-
Jurema (PI),4575,-
Lagoinha do Piauí (PI),768,-
Lagoa Alegre (PI),1328,-
Lagoa do Barro do Piauí (PI),2787,-
Lagoa de São Francisco (PI),1624,-
Lagoa do Piauí (PI),870,-
Lagoa do Sítio (PI),7846,-
Landri Sales (PI),9375,-
Luís Correia (PI),9508,-
Luzilândia (PI),4102,-
Madeiro (PI),615,-
Manoel Emídio (PI),1213,-
Marcolândia (PI),2320,-
Marcos Parente (PI),334,-
Massapê do Piauí (PI),2406,-
Matias Olímpio (PI),1139,-
Miguel Alves (PI),7266,-
Miguel Leão (PI),1269,-
Milton Brandão (PI),2805,-
Monsenhor Gil (PI),3463,-
Monsenhor Hipólito (PI),4742,-
Monte Alegre do Piauí (PI),23936,-
Morro Cabeça no Tempo (PI),1810,-
Morro do Chapéu do Piauí (PI),1926,-
Murici dos Portelas (PI),4296,-
Nazaré do Piauí (PI),485,-
Nazária (PI),1900,-
Nossa Senhora de Nazaré (PI),606,-
Nossa Senhora dos Remédios (PI),1417,-
Novo Oriente do Piauí (PI),2082,-
Novo Santo Antônio (PI),1676,-
Oeiras (PI),7551,-
Olho D'Água do Piauí (PI),901,-
Padre Marcos (PI),3223,-
Paes Landim (PI),1949,-
Pajeú do Piauí (PI),1856,-
Palmeira do Piauí (PI),16973,-
Palmeirais (PI),6841,-
Paquetá (PI),2315,-
Parnaguá (PI),3204,-
Parnaíba (PI),1388,-
Passagem Franca do Piauí (PI),1302,-
Patos do Piauí (PI),2406,-
Pau D'Arco do Piauí (PI),1303,-
Paulistana (PI),5180,-
Pavussu (PI),1654,-
Pedro II (PI),5090,-
Pedro Laurentino (PI),1182,-
Nova Santa Rita (PI),2896,-
Picos (PI),5249,-
Pimenteiras (PI),4630,-
Pio IX (PI),32522,-
Piracuruca (PI),4584,-
Piripiri (PI),4569,-
Porto (PI),620,-
Porto Alegre do Piauí (PI),377,-
Prata do Piauí (PI),338,-
Queimada Nova (PI),4074,-
Redenção do Gurguéia (PI),2759,-
Regeneração (PI),8903,-
Riacho Frio (PI),638,-
Ribeira do Piauí (PI),1275,-
Ribeiro Gonçalves (PI),95501,-
Rio Grande do Piauí (PI),2949,-
Santa Cruz do Piauí (PI),2711,-
Santa Cruz dos Milagres (PI),940,-
Santa Filomena (PI),69385,-
Santa Luz (PI),2507,-
Santana do Piauí (PI),2788,-
Santa Rosa do Piauí (PI),1932,-
Santo Antônio de Lisboa (PI),6329,-
Santo Antônio dos Milagres (PI),258,-
Santo Inácio do Piauí (PI),1677,-
São Braz do Piauí (PI),2709,-
São Félix do Piauí (PI),1500,-
São Francisco de Assis do Piauí (PI),2040,-
São Francisco do Piauí (PI),2519,-
São Gonçalo do Gurguéia (PI),3353,-
São Gonçalo do Piauí (PI),2114,-
São João da Canabrava (PI),2973,-
