local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,86611791,600818
Alta Floresta D'Oeste (RO),22271,59
Ariquemes (RO),10453,250
Cabixi (RO),51457,20
Cacoal (RO),13095,260
Cerejeiras (RO),65429,5
Colorado do Oeste (RO),5638,10
Corumbiara (RO),89086,16
Costa Marques (RO),745,-
Espigão D'Oeste (RO),6811,15
Guajará-Mirim (RO),887,5
Jaru (RO),2833,1391
Ji-Paraná (RO),657,184
Machadinho D'Oeste (RO),16942,256
Nova Brasilândia D'Oeste (RO),8646,8
Ouro Preto do Oeste (RO),1690,1275
Pimenta Bueno (RO),4886,4
Porto Velho (RO),42559,363
Presidente Médici (RO),1043,73
Rio Crespo (RO),38458,10
Rolim de Moura (RO),11963,61
Santa Luzia D'Oeste (RO),7852,44
Vilhena (RO),76424,2
São Miguel do Guaporé (RO),41694,4
Nova Mamoré (RO),8908,25
Alvorada D'Oeste (RO),2599,63
Alto Alegre dos Parecis (RO),34813,10
Alto Paraíso (RO),32624,47
Buritis (RO),8526,1042
Novo Horizonte do Oeste (RO),6057,10
Cacaulândia (RO),650,405
Campo Novo de Rondônia (RO),2354,113
Candeias do Jamari (RO),6347,67
Castanheiras (RO),7172,4
Chupinguaia (RO),57362,2
Cujubim (RO),27161,12
Governador Jorge Teixeira (RO),1736,508
Itapuã do Oeste (RO),6561,7
Ministro Andreazza (RO),6511,30
Mirante da Serra (RO),2784,130
Monte Negro (RO),1271,184
Nova União (RO),1148,349
Parecis (RO),2685,2
Pimenteiras do Oeste (RO),82649,-
Primavera de Rondônia (RO),541,5
São Felipe D'Oeste (RO),5723,72
São Francisco do Guaporé (RO),5557,7
Seringueiras (RO),5927,29
Teixeirópolis (RO),258,55
Theobroma (RO),3382,206
Urupá (RO),722,208
Vale do Anari (RO),5599,30
Vale do Paraíso (RO),649,325
Acrelândia (AC),3758,-
Assis Brasil (AC),1675,-
Brasiléia (AC),3410,-
Bujari (AC),2957,-
Capixaba (AC),6016,-
Cruzeiro do Sul (AC),4550,-
Epitaciolândia (AC),3094,-
Feijó (AC),6255,-
Jordão (AC),1195,-
Mâncio Lima (AC),3213,-
Manoel Urbano (AC),1716,-
Marechal Thaumaturgo (AC),3476,-
Plácido de Castro (AC),7661,-
Porto Walter (AC),1466,-
Rio Branco (AC),7428,-
Rodrigues Alves (AC),3152,-
Santa Rosa do Purus (AC),920,-
Senador Guiomard (AC),5353,-
Sena Madureira (AC),4909,-
Tarauacá (AC),6392,-
Xapuri (AC),3856,-
Porto Acre (AC),4090,-
Alvarães (AM),5311,-
Amaturá (AM),318,-
Anamã (AM),378,-
Anori (AM),633,-
Apuí (AM),1760,40
Atalaia do Norte (AM),450,-
Autazes (AM),5488,40
Barcelos (AM),85,-
Barreirinha (AM),252,-
Benjamin Constant (AM),675,-
Beruri (AM),346,-
Boa Vista do Ramos (AM),591,-
Boca do Acre (AM),1471,240
Borba (AM),1599,145
Caapiranga (AM),240,-
Canutama (AM),354,-
Carauari (AM),1027,-
Careiro (AM),1200,-
Careiro da Várzea (AM),753,-
Coari (AM),1717,170
Codajás (AM),5182,20
Eirunepé (AM),1477,-
Envira (AM),1246,-
Fonte Boa (AM),346,70
Guajará (AM),1312,-
Humaitá (AM),7919,25
Ipixuna (AM),312,-
Iranduba (AM),566,-
Itacoatiara (AM),3812,-
Itamarati (AM),297,-
Itapiranga (AM),623,10
Japurá (AM),387,-
Juruá (AM),122,-
Jutaí (AM),1056,66
Lábrea (AM),1976,-
Manacapuru (AM),12075,-
Manaquiri (AM),1188,-
Manaus (AM),397,-
Manicoré (AM),8138,112
Maraã (AM),76,-
Maués (AM),4023,-
Nhamundá (AM),665,-
Nova Olinda do Norte (AM),1832,55
Novo Airão (AM),191,-
Novo Aripuanã (AM),1942,83
Parintins (AM),1594,-
Pauini (AM),1238,7
Presidente Figueiredo (AM),6970,-
Rio Preto da Eva (AM),908,-
Santa Isabel do Rio Negro (AM),151,-
Santo Antônio do Içá (AM),...,...
São Gabriel da Cachoeira (AM),879,-
São Paulo de Olivença (AM),185,-
São Sebastião do Uatumã (AM),746,-
Silves (AM),1493,-
Tabatinga (AM),209,-
Tapauá (AM),2992,-
Tefé (AM),8687,20
Tonantins (AM),567,-
Uarini (AM),6113,-
Urucará (AM),1122,22
Urucurituba (AM),409,100
Amajari (RR),2020,-
Alto Alegre (RR),31314,-
Boa Vista (RR),26941,-
Bonfim (RR),38505,-
Cantá (RR),4790,-
Caracaraí (RR),2054,-
Caroebe (RR),2205,170
Iracema (RR),2334,-
Mucajaí (RR),3955,-
Normandia (RR),4095,-
Pacaraima (RR),804,-
Rorainópolis (RR),1720,-
São João da Baliza (RR),1403,-
São Luiz (RR),740,-
Uiramutã (RR),394,-
Abaetetuba (PA),25055,140
Abel Figueiredo (PA),6219,-
Acará (PA),41569,1120
Afuá (PA),163,-
Água Azul do Norte (PA),5678,100
Alenquer (PA),14265,417
Almeirim (PA),787,45
Altamira (PA),35370,4746
Anajás (PA),4415,-
Ananindeua (PA),38,-
Anapu (PA),12978,10113
Augusto Corrêa (PA),2869,-
Aurora do Pará (PA),6004,10
Aveiro (PA),2398,300
Bagre (PA),7638,-
Baião (PA),12725,400
Bannach (PA),50,8
Barcarena (PA),14114,1700
Belém (PA),190,-
Belterra (PA),45519,-
Benevides (PA),150,-
Bom Jesus do Tocantins (PA),820,-
Bonito (PA),9740,-
Bragança (PA),6414,20
Brasil Novo (PA),8747,7653
Brejo Grande do Araguaia (PA),1505,-
Breu Branco (PA),1159,100
Breves (PA),2783,-
Bujaru (PA),8677,-
Cachoeira do Piriá (PA),3527,35
Cachoeira do Arari (PA),6550,-
Cametá (PA),44830,6396
Canaã dos Carajás (PA),7417,-
Capanema (PA),7504,-
Capitão Poço (PA),19805,-
Castanhal (PA),7925,170
Chaves (PA),105,-
Colares (PA),415,-
Conceição do Araguaia (PA),9860,-
Concórdia do Pará (PA),24534,290
Cumaru do Norte (PA),24283,10
Curionópolis (PA),3378,-
Curralinho (PA),2231,-
Curuá (PA),717,-
Curuçá (PA),1435,-
Dom Eliseu (PA),112937,-
Eldorado do Carajás (PA),2650,120
Faro (PA),254,-
Floresta do Araguaia (PA),20294,-
Garrafão do Norte (PA),7175,-
Goianésia do Pará (PA),523,-
Gurupá (PA),1077,70
Igarapé-Açu (PA),10110,-
Igarapé-Miri (PA),54814,462
