local,total_area_plantada_hectare,total_cacau_semente_hectare
Humaitá (AM),7490,27
Ipixuna (AM),487,-
Iranduba (AM),555,-
Itacoatiara (AM),3988,21
Itamarati (AM),303,-
Itapiranga (AM),748,16
Japurá (AM),396,-
Juruá (AM),122,-
Jutaí (AM),1060,68
Lábrea (AM),1980,-
Manacapuru (AM),18356,-
Manaquiri (AM),1470,-
Manaus (AM),25,-
Manicoré (AM),7957,110
Maraã (AM),81,-
Maués (AM),4523,-
Nhamundá (AM),827,-
Nova Olinda do Norte (AM),1751,50
Novo Airão (AM),150,-
Novo Aripuanã (AM),1852,83
Parintins (AM),3005,-
Pauini (AM),1199,7
Presidente Figueiredo (AM),4606,-
Rio Preto da Eva (AM),728,-
Santa Isabel do Rio Negro (AM),118,-
Santo Antônio do Içá (AM),653,-
São Gabriel da Cachoeira (AM),813,-
São Paulo de Olivença (AM),296,-
São Sebastião do Uatumã (AM),899,-
Silves (AM),995,-
Tabatinga (AM),240,-
Tapauá (AM),3025,-
Tefé (AM),8749,22
Tonantins (AM),355,4
Uarini (AM),6103,-
Urucará (AM),1185,25
Urucurituba (AM),357,70
Amajari (RR),1325,-
Alto Alegre (RR),29732,-
Boa Vista (RR),10550,-
Bonfim (RR),29734,-
Cantá (RR),3945,-
Caracaraí (RR),1383,-
Caroebe (RR),3294,12
Iracema (RR),1414,-
Mucajaí (RR),1696,-
Normandia (RR),4445,-
Pacaraima (RR),794,-
Rorainópolis (RR),2066,-
São João da Baliza (RR),1373,-
São Luiz (RR),895,-
Uiramutã (RR),1406,-
Abaetetuba (PA),32183,140
Abel Figueiredo (PA),6103,-
Acará (PA),41569,1120
Afuá (PA),159,-
Água Azul do Norte (PA),5704,30
Alenquer (PA),14265,417
Almeirim (PA),787,45
Altamira (PA),36256,5666
Anajás (PA),4204,-
Ananindeua (PA),38,-
Anapu (PA),12550,10113
Augusto Corrêa (PA),2429,-
Aurora do Pará (PA),5959,10
Aveiro (PA),2980,300
Bagre (PA),7234,-
Baião (PA),12725,400
Bannach (PA),148,8
Barcarena (PA),19865,2300
Belém (PA),170,-
Belterra (PA),31792,-
Benevides (PA),150,-
Bom Jesus do Tocantins (PA),804,-
Bonito (PA),10125,-
Bragança (PA),7833,15
Brasil Novo (PA),8145,7261
Brejo Grande do Araguaia (PA),1505,-
Breu Branco (PA),1159,100
Breves (PA),2552,-
Bujaru (PA),8677,-
Cachoeira do Piriá (PA),3689,30
Cachoeira do Arari (PA),6550,-
Cametá (PA),44855,6396
Canaã dos Carajás (PA),7117,-
Capanema (PA),8296,-
Capitão Poço (PA),25150,-
Castanhal (PA),7752,60
Chaves (PA),103,-
Colares (PA),415,-
Conceição do Araguaia (PA),7734,-
Concórdia do Pará (PA),24534,290
Cumaru do Norte (PA),47899,25
Curionópolis (PA),3378,-
Curralinho (PA),2093,-
Curuá (PA),693,-
Curuçá (PA),1388,-
Dom Eliseu (PA),101002,-
Eldorado do Carajás (PA),2649,120
Faro (PA),302,-
Floresta do Araguaia (PA),18101,-
Garrafão do Norte (PA),7978,-
Goianésia do Pará (PA),523,-
Gurupá (PA),1077,70
Igarapé-Açu (PA),8095,-
Igarapé-Miri (PA),54845,462
Inhangapi (PA),3980,300
Ipixuna do Pará (PA),14041,5
Irituia (PA),3951,2
Itaituba (PA),4531,500
Itupiranga (PA),7537,80
Jacareacanga (PA),3168,4
Jacundá (PA),52,-
Juruti (PA),10220,-
Limoeiro do Ajuru (PA),7317,80
Mãe do Rio (PA),1829,-
Magalhães Barata (PA),1145,-
Marabá (PA),14439,-
Maracanã (PA),2329,-
Marapanim (PA),974,-
Marituba (PA),...,...
Medicilândia (PA),52828,44141
Melgaço (PA),3294,10
Mocajuba (PA),21167,700
Moju (PA),50055,170
Mojuí dos Campos (PA),47752,-
Monte Alegre (PA),19868,261
Muaná (PA),5815,-
Nova Esperança do Piriá (PA),9947,-
Nova Ipixuna (PA),1157,6
Nova Timboteua (PA),1997,-
Novo Progresso (PA),19744,10
Novo Repartimento (PA),6975,4167
Óbidos (PA),20602,10
Oeiras do Pará (PA),7926,90
Oriximiná (PA),15500,-
Ourém (PA),2060,-
Ourilândia do Norte (PA),1559,830
Pacajá (PA),11417,5481
Palestina do Pará (PA),804,-
Paragominas (PA),192931,60
Parauapebas (PA),9834,90
Pau D'Arco (PA),1061,-
Peixe-Boi (PA),1536,-
Piçarra (PA),4812,-
Placas (PA),17397,12355
Ponta de Pedras (PA),3365,-
Portel (PA),18831,-
Porto de Moz (PA),1216,12
Prainha (PA),4868,40
Primavera (PA),591,-
Quatipuru (PA),635,-
Redenção (PA),13707,-
Rio Maria (PA),1372,-
Rondon do Pará (PA),39374,-
Rurópolis (PA),9113,1299
Salinópolis (PA),817,-
Salvaterra (PA),1740,-
Santa Bárbara do Pará (PA),435,-
Santa Izabel do Pará (PA),6348,388
Santa Luzia do Pará (PA),2055,-
Santa Maria das Barreiras (PA),94746,-
Santa Maria do Pará (PA),6270,-
Santana do Araguaia (PA),136945,-
Santarém (PA),37322,168
Santarém Novo (PA),1302,-
Santo Antônio do Tauá (PA),5110,-
São Caetano de Odivelas (PA),988,-
São Domingos do Araguaia (PA),3637,30
São Domingos do Capim (PA),12095,250
São Félix do Xingu (PA),12989,3600
São Francisco do Pará (PA),5875,-
São Geraldo do Araguaia (PA),8466,1020
São João da Ponta (PA),483,3
São João de Pirabas (PA),421,-
São João do Araguaia (PA),1855,-
São Miguel do Guamá (PA),7416,-
São Sebastião da Boa Vista (PA),5070,-
Sapucaia (PA),708,-
Senador José Porfírio (PA),6276,4156
Soure (PA),125,-
Tailândia (PA),100035,70
Terra Alta (PA),469,-
Terra Santa (PA),89,-
Tomé-Açu (PA),49014,3770
Tracuateua (PA),4947,-
Trairão (PA),15025,1650
Tucumã (PA),6891,4950
Tucuruí (PA),58,11
Ulianópolis (PA),77454,4
Uruará (PA),23683,18673
Vigia (PA),1045,-
Viseu (PA),8723,-
Vitória do Xingu (PA),6568,5152
Xinguara (PA),1439,75
Serra do Navio (AP),861,-
Amapá (AP),859,-
Pedra Branca do Amapari (AP),1545,-
Calçoene (AP),1029,-
Cutias (AP),411,-
Ferreira Gomes (AP),1261,-
Itaubal (AP),4180,-
Laranjal do Jari (AP),1429,-
Macapá (AP),10105,-
Mazagão (AP),1359,-
Oiapoque (AP),2200,-
Porto Grande (AP),2492,-
Pracuúba (AP),648,-
Santana (AP),1096,-
Tartarugalzinho (AP),8232,-
Vitória do Jari (AP),972,-
Abreulândia (TO),8270,-
Aguiarnópolis (TO),406,-
Aliança do Tocantins (TO),7553,-
Almas (TO),13498,-
Alvorada (TO),31171,-
Ananás (TO),1058,-
Angico (TO),561,-
Aparecida do Rio Negro (TO),48431,-
Aragominas (TO),1427,-
Araguacema (TO),30130,-
Araguaçu (TO),15994,-
Araguaína (TO),8265,-
Araguanã (TO),21,-
Araguatins (TO),1271,-
Arapoema (TO),1187,-
Arraias (TO),1077,-
Augustinópolis (TO),243,-
Aurora do Tocantins (TO),242,-
Axixá do Tocantins (TO),279,-
Babaçulândia (TO),3362,-
Bandeirantes do Tocantins (TO),436,-
Barra do Ouro (TO),5704,-
Barrolândia (TO),242,-
Bernardo Sayão (TO),720,-
Bom Jesus do Tocantins (TO),26049,-
Brasilândia do Tocantins (TO),212,-
Brejinho de Nazaré (TO),26961,-
Buriti do Tocantins (TO),116,-
Cachoeirinha (TO),303,-
Campos Lindos (TO),104069,-
Cariri do Tocantins (TO),17544,-
Carmolândia (TO),151,-
Carrasco Bonito (TO),142,-
Caseara (TO),83687,-
Centenário (TO),9065,-
Chapada de Areia (TO),444,-
Chapada da Natividade (TO),16881,-
Colinas do Tocantins (TO),70,-
Combinado (TO),212,-
Conceição do Tocantins (TO),238,-
Couto Magalhães (TO),8464,-
Cristalândia (TO),12392,-
Crixás do Tocantins (TO),6957,-
Darcinópolis (TO),13570,-
Dianópolis (TO),29145,-
Divinópolis do Tocantins (TO),11615,-
Dois Irmãos do Tocantins (TO),6226,-
Dueré (TO),14878,-
Esperantina (TO),234,-
Fátima (TO),2583,-
Figueirópolis (TO),21288,-
Filadélfia (TO),324,-
Formoso do Araguaia (TO),27457,-
Tabocão (TO),8860,-
Goianorte (TO),7623,-
Goiatins (TO),19154,-
Guaraí (TO),8399,-
Gurupi (TO),15240,-
Ipueiras (TO),3461,-
Itacajá (TO),8960,-
Itaguatins (TO),254,-
Itapiratins (TO),17440,-
Itaporã do Tocantins (TO),136,-
Jaú do Tocantins (TO),2911,-
Juarina (TO),195,-
Lagoa da Confusão (TO),108940,-
Lagoa do Tocantins (TO),2768,-
Lajeado (TO),377,-
Lavandeira (TO),140,-
Lizarda (TO),6966,-
Luzinópolis (TO),801,-
Marianópolis do Tocantins (TO),24948,-
Mateiros (TO),52318,-
Maurilândia do Tocantins (TO),407,-
Miracema do Tocantins (TO),19150,-
Miranorte (TO),19589,-
Monte do Carmo (TO),49255,-
Monte Santo do Tocantins (TO),1833,-
Palmeiras do Tocantins (TO),771,-
Muricilândia (TO),1013,-
Natividade (TO),3713,-
Nazaré (TO),344,-
Nova Olinda (TO),735,-
Nova Rosalândia (TO),7893,-
Novo Acordo (TO),6893,-
Novo Alegre (TO),168,-
Novo Jardim (TO),297,-
Oliveira de Fátima (TO),1563,-
Palmeirante (TO),5034,-
Palmeirópolis (TO),4145,-
Paraíso do Tocantins (TO),16625,-
Paranã (TO),440,-
Pau D'Arco (TO),243,-
Pedro Afonso (TO),47354,-
Peixe (TO),61903,-
Pequizeiro (TO),2299,-
Colméia (TO),126,-
Pindorama do Tocantins (TO),1765,-
Piraquê (TO),6380,-
Pium (TO),38989,-
Ponte Alta do Bom Jesus (TO),524,-
Ponte Alta do Tocantins (TO),256,-
Porto Alegre do Tocantins (TO),890,-
Porto Nacional (TO),59212,-
Praia Norte (TO),159,-
Presidente Kennedy (TO),31,-
Pugmil (TO),3854,-
Recursolândia (TO),445,-
Riachinho (TO),398,-
Rio da Conceição (TO),94,-
Rio dos Bois (TO),16426,-
Rio Sono (TO),6358,-
Sampaio (TO),763,-
Sandolândia (TO),1104,-
Santa Fé do Araguaia (TO),16203,-
Santa Maria do Tocantins (TO),15115,-
Santa Rita do Tocantins (TO),28660,-
Santa Rosa do Tocantins (TO),49089,-
Santa Tereza do Tocantins (TO),71,-
Santa Terezinha do Tocantins (TO),199,-
São Bento do Tocantins (TO),1369,-
São Félix do Tocantins (TO),60,-
São Miguel do Tocantins (TO),272,-
São Salvador do Tocantins (TO),173,-
São Sebastião do Tocantins (TO),184,-
São Valério (TO),15739,-
Silvanópolis (TO),31749,-
Sítio Novo do Tocantins (TO),216,-
Sucupira (TO),17183,-
Taguatinga (TO),2523,-
Taipas do Tocantins (TO),142,-
Talismã (TO),14251,-
Palmas (TO),20864,-
Tocantínia (TO),4371,-
Tocantinópolis (TO),426,-
Tupirama (TO),19621,-
Tupiratins (TO),1124,-
Wanderlândia (TO),1810,-
Xambioá (TO),1425,-
Açailândia (MA),61875,-
Afonso Cunha (MA),7996,-
Água Doce do Maranhão (MA),1038,-
Alcântara (MA),1087,-
Aldeias Altas (MA),9226,-
Altamira do Maranhão (MA),1049,-
Alto Alegre do Maranhão (MA),638,-
Alto Alegre do Pindaré (MA),936,-
Alto Parnaíba (MA),72672,-
Amapá do Maranhão (MA),404,-
Amarante do Maranhão (MA),2327,-
Anajatuba (MA),775,-
Anapurus (MA),10135,-
Apicum-Açu (MA),507,-
Araguanã (MA),562,-
Araioses (MA),1808,-
Arame (MA),3709,-
Arari (MA),3417,-
Axixá (MA),441,-
Bacabal (MA),2620,-
Bacabeira (MA),201,-
Bacuri (MA),892,-
Bacurituba (MA),413,-
Balsas (MA),324280,-
Barão de Grajaú (MA),1023,-
Barra do Corda (MA),4875,-
Barreirinhas (MA),5210,-
Belágua (MA),662,-
Bela Vista do Maranhão (MA),243,-
Benedito Leite (MA),4780,-
Bequimão (MA),1766,-
Bernardo do Mearim (MA),452,-
Boa Vista do Gurupi (MA),224,-
Bom Jardim (MA),13313,-
Bom Jesus das Selvas (MA),8943,-
Bom Lugar (MA),1349,-
Brejo (MA),18899,-
Brejo de Areia (MA),969,-
Buriti (MA),16091,-
Buriti Bravo (MA),7202,-
Buriticupu (MA),36764,-
Buritirana (MA),535,-
Cachoeira Grande (MA),447,-
Cajapió (MA),535,-
Cajari (MA),1021,-
Campestre do Maranhão (MA),5964,-
Cândido Mendes (MA),661,-
Cantanhede (MA),1793,-
Capinzal do Norte (MA),1114,-
Carolina (MA),47038,-
Carutapera (MA),615,-
Caxias (MA),13650,-
Cedral (MA),660,-
Central do Maranhão (MA),532,-
Centro do Guilherme (MA),1065,-
Centro Novo do Maranhão (MA),877,-
Chapadinha (MA),7623,-
Cidelândia (MA),7597,-
Codó (MA),7974,-
Coelho Neto (MA),6243,-
Colinas (MA),8179,-
Conceição do Lago-Açu (MA),566,-
Coroatá (MA),4137,-
Cururupu (MA),504,-
Davinópolis (MA),346,-
Dom Pedro (MA),1968,-
Duque Bacelar (MA),1029,-
Esperantinópolis (MA),1725,-
Estreito (MA),2280,-
Feira Nova do Maranhão (MA),2412,-
Fernando Falcão (MA),10100,-
Formosa da Serra Negra (MA),2669,-
Fortaleza dos Nogueiras (MA),18045,-
Fortuna (MA),5877,-
Godofredo Viana (MA),268,-
Gonçalves Dias (MA),1726,-
Governador Archer (MA),533,-
Governador Edison Lobão (MA),280,-
Governador Eugênio Barros (MA),4816,-
Governador Luiz Rocha (MA),4054,-
Governador Newton Bello (MA),503,-
Governador Nunes Freire (MA),1037,-
Graça Aranha (MA),1291,-
Grajaú (MA),29409,-
Guimarães (MA),835,-
Humberto de Campos (MA),772,-
Icatu (MA),765,-
Igarapé do Meio (MA),304,-
Igarapé Grande (MA),709,-
Imperatriz (MA),263,-
Itaipava do Grajaú (MA),954,-
Itapecuru Mirim (MA),2624,-
Itinga do Maranhão (MA),24578,-
Jatobá (MA),2863,-
Jenipapo dos Vieiras (MA),1381,-
João Lisboa (MA),362,-
Joselândia (MA),803,-
Junco do Maranhão (MA),380,-
Lago da Pedra (MA),5308,-
Lago do Junco (MA),890,-
Lago Verde (MA),578,-
Lagoa do Mato (MA),2439,-
Lago dos Rodrigues (MA),958,-
Lagoa Grande do Maranhão (MA),1346,-
Lajeado Novo (MA),1088,-
Lima Campos (MA),1062,-
Loreto (MA),53250,-
Luís Domingues (MA),275,-
Magalhães de Almeida (MA),5906,-
Maracaçumé (MA),580,-
Marajá do Sena (MA),2222,-
Maranhãozinho (MA),838,-
Mata Roma (MA),10033,-
Matinha (MA),1016,-
Matões (MA),4911,-
Matões do Norte (MA),1541,-
Milagres do Maranhão (MA),6244,-
Mirador (MA),18062,-
Miranda do Norte (MA),674,-
Mirinzal (MA),1005,-
Monção (MA),1116,-
Montes Altos (MA),572,-
Morros (MA),877,-
Nina Rodrigues (MA),493,-
Nova Colinas (MA),4146,-
Nova Iorque (MA),2051,-
Nova Olinda do Maranhão (MA),986,-
Olho d'Água das Cunhãs (MA),626,-
Olinda Nova do Maranhão (MA),786,-
Paço do Lumiar (MA),162,-
Palmeirândia (MA),2056,-
Paraibano (MA),2011,-
Parnarama (MA),14066,-
Passagem Franca (MA),2776,-
Pastos Bons (MA),11445,-
Paulino Neves (MA),817,-
Paulo Ramos (MA),1618,-
Pedreiras (MA),730,-
Pedro do Rosário (MA),1765,-
Penalva (MA),2058,-
Peri Mirim (MA),962,-
Peritoró (MA),1260,-
Pindaré-Mirim (MA),300,-
Pinheiro (MA),2261,-
Pio XII (MA),935,-
Pirapemas (MA),1209,-
Poção de Pedras (MA),1338,-
Porto Franco (MA),900,-
Porto Rico do Maranhão (MA),674,-
Presidente Dutra (MA),1960,-
Presidente Juscelino (MA),605,-
Presidente Médici (MA),493,-
Presidente Sarney (MA),1849,-
Presidente Vargas (MA),901,-
Primeira Cruz (MA),321,-
Raposa (MA),30,-
Riachão (MA),76795,-
Ribamar Fiquene (MA),2210,-
Rosário (MA),213,-
Sambaíba (MA),68002,-
Santa Filomena do Maranhão (MA),831,-
Santa Helena (MA),898,-
Santa Inês (MA),463,-
Santa Luzia (MA),19785,-
Santa Luzia do Paruá (MA),751,-
Santa Quitéria do Maranhão (MA),5489,-
Santa Rita (MA),196,-
Santana do Maranhão (MA),1408,-
Santo Amaro do Maranhão (MA),3019,-
Santo Antônio dos Lopes (MA),1494,-
São Benedito do Rio Preto (MA),2796,-
São Bento (MA),1154,-
São Bernardo (MA),3931,-
São Domingos do Azeitão (MA),33860,-
São Domingos do Maranhão (MA),5837,-
São Félix de Balsas (MA),4344,-
São Francisco do Brejão (MA),284,-
São Francisco do Maranhão (MA),2326,-
São João Batista (MA),547,-
São João do Carú (MA),674,-
São João do Paraíso (MA),681,-
São João do Soter (MA),5893,-
São João dos Patos (MA),5691,-
São José de Ribamar (MA),50,-
São José dos Basílios (MA),1889,-
São Luís (MA),55,-
São Luís Gonzaga do Maranhão (MA),2098,-
São Mateus do Maranhão (MA),6223,-
São Pedro da Água Branca (MA),695,-
São Pedro dos Crentes (MA),2544,-
São Raimundo das Mangabeiras (MA),62792,-
São Raimundo do Doca Bezerra (MA),920,-
São Roberto (MA),441,-
São Vicente Ferrer (MA),1381,-
Satubinha (MA),553,-
Senador Alexandre Costa (MA),5205,-
Senador La Rocque (MA),251,-
Serrano do Maranhão (MA),1105,-
Sítio Novo (MA),3128,-
Sucupira do Norte (MA),7476,-
Sucupira do Riachão (MA),790,-
Tasso Fragoso (MA),265196,-
Timbiras (MA),2583,-
Timon (MA),4066,-
Trizidela do Vale (MA),713,-
Tufilândia (MA),191,-
Tuntum (MA),8641,-
Turiaçu (MA),2985,-
Turilândia (MA),1349,-
Tutóia (MA),2840,-
Urbano Santos (MA),2983,-
Vargem Grande (MA),2278,-
Viana (MA),1969,-
Vila Nova dos Martírios (MA),4252,-
Vitória do Mearim (MA),1850,-
Vitorino Freire (MA),2087,-
Zé Doca (MA),1460,-
Acauã (PI),3823,-
Agricolândia (PI),1640,-
Água Branca (PI),613,-
Alagoinha do Piauí (PI),7350,-
Alegrete do Piauí (PI),5600,-
Alto Longá (PI),3148,-
Altos (PI),1663,-
Alvorada do Gurguéia (PI),4094,-
Amarante (PI),4213,-
Angical do Piauí (PI),1007,-
Anísio de Abreu (PI),3284,-
Antônio Almeida (PI),5982,-
Aroazes (PI),1175,-
Aroeiras do Itaim (PI),3736,-
Arraial (PI),1249,-
Assunção do Piauí (PI),2213,-
Avelino Lopes (PI),2025,-
Baixa Grande do Ribeiro (PI),264773,-
Barra D'Alcântara (PI),707,-
Barras (PI),5595,-
Barreiras do Piauí (PI),21614,-
Barro Duro (PI),1388,-
Batalha (PI),4425,-
Bela Vista do Piauí (PI),2260,-
Belém do Piauí (PI),3360,-
Beneditinos (PI),1685,-
Bertolínia (PI),670,-
Betânia do Piauí (PI),3056,-
Boa Hora (PI),2683,-
Bocaina (PI),2686,-
Bom Jesus (PI),98764,-
Bom Princípio do Piauí (PI),7738,-
Bonfim do Piauí (PI),2187,-
Boqueirão do Piauí (PI),957,-
Brasileira (PI),981,-
Brejo do Piauí (PI),1426,-
Buriti dos Lopes (PI),5440,-
Buriti dos Montes (PI),2504,-
Cabeceiras do Piauí (PI),1534,-
Cajazeiras do Piauí (PI),871,-
Cajueiro da Praia (PI),2401,-
Caldeirão Grande do Piauí (PI),9450,-
Campinas do Piauí (PI),1701,-
Campo Alegre do Fidalgo (PI),1555,-
Campo Grande do Piauí (PI),5480,-
Campo Largo do Piauí (PI),856,-
Campo Maior (PI),2543,-
Canavieira (PI),1584,-
Canto do Buriti (PI),9182,-
Capitão de Campos (PI),1794,-
Capitão Gervásio Oliveira (PI),519,-
Caracol (PI),5011,-
Caraúbas do Piauí (PI),719,-
Caridade do Piauí (PI),2450,-
Castelo do Piauí (PI),2918,-
Caxingó (PI),685,-
Cocal (PI),20864,-
Cocal de Telha (PI),606,-
Cocal dos Alves (PI),6204,-
Coivaras (PI),1511,-
Colônia do Gurguéia (PI),440,-
Colônia do Piauí (PI),1780,-
Conceição do Canindé (PI),656,-
Coronel José Dias (PI),1830,-
Corrente (PI),25068,-
Cristalândia do Piauí (PI),2012,-
Cristino Castro (PI),722,-
Curimatá (PI),2070,-
Currais (PI),71237,-
Curralinhos (PI),645,-
Curral Novo do Piauí (PI),2145,-
Demerval Lobão (PI),566,-
Dirceu Arcoverde (PI),1230,-
Dom Expedito Lopes (PI),3386,-
Domingos Mourão (PI),1687,-
Dom Inocêncio (PI),4907,-
Elesbão Veloso (PI),4336,-
Eliseu Martins (PI),1719,-
Esperantina (PI),4326,-
Fartura do Piauí (PI),1366,-
Flores do Piauí (PI),1435,-
Floresta do Piauí (PI),742,-
Floriano (PI),3365,-
Francinópolis (PI),786,-
Francisco Ayres (PI),2687,-
Francisco Macedo (PI),1065,-
Francisco Santos (PI),5130,-
Fronteiras (PI),5920,-
Geminiano (PI),4757,-
Gilbués (PI),41294,-
Guadalupe (PI),1907,-
Guaribas (PI),2057,-
Hugo Napoleão (PI),885,-
Ilha Grande (PI),623,-
Inhuma (PI),7595,-
Ipiranga do Piauí (PI),1778,-
Isaías Coelho (PI),3373,-
Itainópolis (PI),5119,-
Itaueira (PI),9247,-
Jacobina do Piauí (PI),1871,-
Jaicós (PI),9135,-
Jardim do Mulato (PI),1037,-
Jatobá do Piauí (PI),2047,-
Jerumenha (PI),377,-
João Costa (PI),567,-
Joaquim Pires (PI),2033,-
Joca Marques (PI),628,-
José de Freitas (PI),7397,-
Juazeiro do Piauí (PI),1555,-
Júlio Borges (PI),1150,-
Jurema (PI),2880,-
Lagoinha do Piauí (PI),408,-
Lagoa Alegre (PI),925,-
Lagoa do Barro do Piauí (PI),1491,-
Lagoa de São Francisco (PI),1350,-
Lagoa do Piauí (PI),815,-
Lagoa do Sítio (PI),4563,-
Landri Sales (PI),7980,-
Luís Correia (PI),12402,-
Luzilândia (PI),2210,-
Madeiro (PI),855,-
Manoel Emídio (PI),1240,-
Marcolândia (PI),3545,-
Marcos Parente (PI),423,-
Massapê do Piauí (PI),1808,-
Matias Olímpio (PI),1108,-
Miguel Alves (PI),7025,-
Miguel Leão (PI),318,-
Milton Brandão (PI),2576,-
Monsenhor Gil (PI),1196,-
Monsenhor Hipólito (PI),7450,-
Monte Alegre do Piauí (PI),30402,-
Morro Cabeça no Tempo (PI),1029,-
Morro do Chapéu do Piauí (PI),1124,-
Murici dos Portelas (PI),1718,-
Nazaré do Piauí (PI),437,-
Nazária (PI),608,-
Nossa Senhora de Nazaré (PI),867,-
Nossa Senhora dos Remédios (PI),1048,-
Novo Oriente do Piauí (PI),1667,-
Novo Santo Antônio (PI),735,-
Oeiras (PI),6295,-
Olho D'Água do Piauí (PI),919,-
Padre Marcos (PI),4278,-
Paes Landim (PI),1176,-
Pajeú do Piauí (PI),1780,-
Palmeira do Piauí (PI),21857,-
Palmeirais (PI),6226,-
Paquetá (PI),3990,-
Parnaguá (PI),1900,-
Parnaíba (PI),1397,-
Passagem Franca do Piauí (PI),835,-
Patos do Piauí (PI),3397,-
Pau D'Arco do Piauí (PI),654,-
Paulistana (PI),2990,-
Pavussu (PI),1610,-
Pedro II (PI),3906,-
Pedro Laurentino (PI),860,-
Nova Santa Rita (PI),1905,-
Picos (PI),5588,-
Pimenteiras (PI),4931,-
Pio IX (PI),42068,-
Piracuruca (PI),5230,-
Piripiri (PI),3772,-
Porto (PI),747,-
Porto Alegre do Piauí (PI),389,-
Prata do Piauí (PI),125,-
Queimada Nova (PI),4710,-
Redenção do Gurguéia (PI),3061,-
Regeneração (PI),12982,-
Riacho Frio (PI),551,-
Ribeira do Piauí (PI),561,-
Ribeiro Gonçalves (PI),106796,-
Rio Grande do Piauí (PI),1306,-
Santa Cruz do Piauí (PI),1682,-
Santa Cruz dos Milagres (PI),732,-
Santa Filomena (PI),98535,-
Santa Luz (PI),1565,-
Santana do Piauí (PI),2609,-
Santa Rosa do Piauí (PI),1595,-
Santo Antônio de Lisboa (PI),4362,-
Santo Antônio dos Milagres (PI),265,-
Santo Inácio do Piauí (PI),660,-
São Braz do Piauí (PI),2891,-
São Félix do Piauí (PI),524,-
São Francisco de Assis do Piauí (PI),1602,-
São Francisco do Piauí (PI),1288,-
São Gonçalo do Gurguéia (PI),1114,-
São Gonçalo do Piauí (PI),3355,-
São João da Canabrava (PI),4264,-
São João da Fronteira (PI),923,-
São João da Serra (PI),967,-
São João da Varjota (PI),1191,-
São João do Arraial (PI),704,-
São João do Piauí (PI),1595,-
