local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,83384476,589153
Alta Floresta D'Oeste (RO),26219,59
Ariquemes (RO),11618,971
Cabixi (RO),46505,20
Cacoal (RO),15381,291
Cerejeiras (RO),69315,5
Colorado do Oeste (RO),5108,-
Corumbiara (RO),69833,16
Costa Marques (RO),896,-
Espigão D'Oeste (RO),5293,15
Guajará-Mirim (RO),833,5
Jaru (RO),2645,1020
Ji-Paraná (RO),707,184
Machadinho D'Oeste (RO),17411,201
Nova Brasilândia D'Oeste (RO),6633,8
Ouro Preto do Oeste (RO),1770,1275
Pimenta Bueno (RO),1780,4
Porto Velho (RO),70298,363
Presidente Médici (RO),1151,73
Rio Crespo (RO),37602,10
Rolim de Moura (RO),5616,36
Santa Luzia D'Oeste (RO),1859,44
Vilhena (RO),102427,2
São Miguel do Guaporé (RO),31762,3
Nova Mamoré (RO),5748,25
Alvorada D'Oeste (RO),2340,63
Alto Alegre dos Parecis (RO),23203,44
Alto Paraíso (RO),21937,47
Buritis (RO),7667,1027
Novo Horizonte do Oeste (RO),4703,10
Cacaulândia (RO),1019,435
Campo Novo de Rondônia (RO),2406,85
Candeias do Jamari (RO),14924,67
Castanheiras (RO),4260,4
Chupinguaia (RO),53847,2
Cujubim (RO),28852,93
Governador Jorge Teixeira (RO),1692,500
Itapuã do Oeste (RO),4740,16
Ministro Andreazza (RO),6258,74
Mirante da Serra (RO),2807,130
Monte Negro (RO),1140,130
Nova União (RO),1139,349
Parecis (RO),2516,8
Pimenteiras do Oeste (RO),68891,-
Primavera de Rondônia (RO),510,5
São Felipe D'Oeste (RO),1826,62
São Francisco do Guaporé (RO),4975,15
Seringueiras (RO),6492,29
Teixeirópolis (RO),246,55
Theobroma (RO),3383,582
Urupá (RO),723,208
Vale do Anari (RO),2362,228
Vale do Paraíso (RO),651,325
Acrelândia (AC),3718,-
Assis Brasil (AC),1711,-
Brasiléia (AC),3324,-
Bujari (AC),2913,-
Capixaba (AC),4153,-
Cruzeiro do Sul (AC),4757,-
Epitaciolândia (AC),2797,-
Feijó (AC),6672,-
Jordão (AC),1263,-
Mâncio Lima (AC),3366,-
Manoel Urbano (AC),1748,-
Marechal Thaumaturgo (AC),3718,-
Plácido de Castro (AC),5315,-
Porto Walter (AC),1438,-
Rio Branco (AC),6276,-
Rodrigues Alves (AC),3484,-
Santa Rosa do Purus (AC),944,-
Senador Guiomard (AC),4431,-
Sena Madureira (AC),5242,-
Tarauacá (AC),6800,-
Xapuri (AC),3583,-
Porto Acre (AC),3927,-
Alvarães (AM),5362,10
Amaturá (AM),405,-
Anamã (AM),515,-
Anori (AM),566,-
Apuí (AM),1723,42
Atalaia do Norte (AM),509,-
Autazes (AM),5398,40
Barcelos (AM),85,-
Barreirinha (AM),311,-
Benjamin Constant (AM),637,-
Beruri (AM),104,-
Boa Vista do Ramos (AM),614,-
Boca do Acre (AM),1465,242
Borba (AM),1618,150
Caapiranga (AM),232,-
Canutama (AM),346,-
Carauari (AM),1395,-
Careiro (AM),1188,-
Careiro da Várzea (AM),999,-
Coari (AM),1628,170
Codajás (AM),5185,20
Eirunepé (AM),2894,-
Envira (AM),1173,-
Fonte Boa (AM),296,72
Guajará (AM),976,-
