local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,72440414,692435
Alta Floresta D'Oeste (RO),24232,85
Ariquemes (RO),15843,5330
Cabixi (RO),24232,28
Cacoal (RO),20033,925
Cerejeiras (RO),38016,6
Colorado do Oeste (RO),6728,277
Corumbiara (RO),60222,20
Costa Marques (RO),1388,-
Espigão D'Oeste (RO),5876,320
Guajará-Mirim (RO),759,-
Jaru (RO),6867,3401
Ji-Paraná (RO),4435,533
Machadinho D'Oeste (RO),19795,1143
Nova Brasilândia D'Oeste (RO),7083,15
Ouro Preto do Oeste (RO),2440,1300
Pimenta Bueno (RO),1478,46
Porto Velho (RO),20875,980
Presidente Médici (RO),3085,89
Rio Crespo (RO),9109,97
Rolim de Moura (RO),7405,436
Santa Luzia D'Oeste (RO),6607,90
Vilhena (RO),75247,-
São Miguel do Guaporé (RO),21054,7
Nova Mamoré (RO),3477,491
Alvorada D'Oeste (RO),4560,143
Alto Alegre dos Parecis (RO),21175,18
Alto Paraíso (RO),6888,150
Buritis (RO),10306,3343
Novo Horizonte do Oeste (RO),4403,66
Cacaulândia (RO),3415,1230
Campo Novo de Rondônia (RO),6203,900
Candeias do Jamari (RO),3528,125
Castanheiras (RO),2938,10
Chupinguaia (RO),45976,-
Cujubim (RO),2797,27
Governador Jorge Teixeira (RO),1587,838
Itapuã do Oeste (RO),2501,-
Ministro Andreazza (RO),7233,192
Mirante da Serra (RO),6349,535
Monte Negro (RO),3717,480
Nova União (RO),2630,195
Parecis (RO),1867,7
Pimenteiras do Oeste (RO),31438,-
Primavera de Rondônia (RO),1001,11
São Felipe D'Oeste (RO),5854,65
São Francisco do Guaporé (RO),2467,-
Seringueiras (RO),5950,43
Teixeirópolis (RO),882,245
Theobroma (RO),3486,990
Urupá (RO),4786,993
Vale do Anari (RO),2298,305
Vale do Paraíso (RO),3547,467
Acrelândia (AC),6843,-
Assis Brasil (AC),2244,-
Brasiléia (AC),6247,-
Bujari (AC),5410,-
Capixaba (AC),7693,-
Cruzeiro do Sul (AC),12040,-
Epitaciolândia (AC),4565,-
Feijó (AC),7613,-
Jordão (AC),1334,-
Mâncio Lima (AC),4348,-
Manoel Urbano (AC),2858,-
Marechal Thaumaturgo (AC),5718,-
Plácido de Castro (AC),5808,-
Porto Walter (AC),2407,-
Rio Branco (AC),6992,-
Rodrigues Alves (AC),7478,-
Santa Rosa do Purus (AC),761,-
Senador Guiomard (AC),7153,-
Sena Madureira (AC),13825,-
Tarauacá (AC),7854,-
Xapuri (AC),4338,-
Porto Acre (AC),7247,-
Alvarães (AM),792,20
Amaturá (AM),499,60
Anamã (AM),583,120
Anori (AM),772,25
Apuí (AM),5268,330
Atalaia do Norte (AM),718,24
Autazes (AM),3891,304
Barcelos (AM),377,-
