local,total_area_plantada_hectare,total_cacau_semente_hectare
Canutama (AM),184,-
Carauari (AM),1020,-
Careiro (AM),1183,-
Careiro da Várzea (AM),731,-
Coari (AM),1590,165
Codajás (AM),5090,20
Eirunepé (AM),3717,-
Envira (AM),1830,-
Fonte Boa (AM),311,75
Guajará (AM),564,-
Humaitá (AM),4131,26
Ipixuna (AM),204,-
Iranduba (AM),2810,-
Itacoatiara (AM),4634,29
Itamarati (AM),61,-
Itapiranga (AM),662,26
Japurá (AM),432,-
Juruá (AM),133,-
Jutaí (AM),1341,90
Lábrea (AM),702,-
Manacapuru (AM),16456,-
Manaquiri (AM),1612,-
Manaus (AM),580,-
Manicoré (AM),10130,200
Maraã (AM),89,-
Maués (AM),4226,-
Nhamundá (AM),775,-
Nova Olinda do Norte (AM),1901,60
Novo Airão (AM),52,-
Novo Aripuanã (AM),1873,90
Parintins (AM),1225,-
Pauini (AM),1138,10
Presidente Figueiredo (AM),6640,-
Rio Preto da Eva (AM),3244,-
Santa Isabel do Rio Negro (AM),89,-
Santo Antônio do Içá (AM),214,-
São Gabriel da Cachoeira (AM),123,-
São Paulo de Olivença (AM),245,-
São Sebastião do Uatumã (AM),1130,-
Silves (AM),1352,-
Tabatinga (AM),143,-
Tapauá (AM),2663,-
Tefé (AM),9026,24
Tonantins (AM),388,3
Uarini (AM),6395,-
Urucará (AM),1141,29
Urucurituba (AM),334,36
Amajari (RR),1584,-
Alto Alegre (RR),17450,-
Boa Vista (RR),10896,-
Bonfim (RR),21109,-
Cantá (RR),3008,-
Caracaraí (RR),1010,-
Caroebe (RR),3425,30
Iracema (RR),3414,-
Mucajaí (RR),3691,-
Normandia (RR),3617,-
Pacaraima (RR),821,-
Rorainópolis (RR),2607,-
São João da Baliza (RR),1351,-
São Luiz (RR),964,-
Uiramutã (RR),1033,-
Abaetetuba (PA),24480,80
Abel Figueiredo (PA),1213,-
Acará (PA),44171,1120
Afuá (PA),140,-
Água Azul do Norte (PA),5274,30
Alenquer (PA),14259,417
Almeirim (PA),744,35
Altamira (PA),18544,7369
Anajás (PA),2664,-
Ananindeua (PA),38,-
Anapu (PA),7609,5257
Augusto Corrêa (PA),3340,-
Aurora do Pará (PA),4567,-
Aveiro (PA),2970,300
Bagre (PA),2328,-
Baião (PA),2390,250
Bannach (PA),169,8
Barcarena (PA),11612,1200
Belém (PA),150,-
Belterra (PA),23322,-
Benevides (PA),150,-
Bom Jesus do Tocantins (PA),3217,-
Bonito (PA),9580,-
Bragança (PA),6746,-
Brasil Novo (PA),7954,6411
Brejo Grande do Araguaia (PA),1365,-
Breu Branco (PA),1792,200
Breves (PA),6532,-
Bujaru (PA),8775,-
Cachoeira do Piriá (PA),3144,30
Cachoeira do Arari (PA),6560,-
Cametá (PA),35540,6396
Canaã dos Carajás (PA),6203,-
Capanema (PA),3876,-
Capitão Poço (PA),20555,-
Castanhal (PA),7795,60
Chaves (PA),70,-
Colares (PA),415,-
Conceição do Araguaia (PA),5287,-
Concórdia do Pará (PA),25094,300
Cumaru do Norte (PA),22867,10
Curionópolis (PA),3300,-
Curralinho (PA),1061,-
Curuá (PA),718,-
Curuçá (PA),1513,-
Dom Eliseu (PA),109354,-
Eldorado do Carajás (PA),3110,120
Faro (PA),302,-
Floresta do Araguaia (PA),19328,-
Garrafão do Norte (PA),5655,-
Goianésia do Pará (PA),491,-
Gurupá (PA),1076,70
Igarapé-Açu (PA),9140,-
Igarapé-Miri (PA),47800,458
Inhangapi (PA),3983,300
Ipixuna do Pará (PA),8525,-
Irituia (PA),3851,2
Itaituba (PA),5793,200
Itupiranga (PA),7667,100
Jacareacanga (PA),2593,2
Jacundá (PA),302,-
Juruti (PA),12215,-
Limoeiro do Ajuru (PA),6896,70
Mãe do Rio (PA),2050,-
Magalhães Barata (PA),1156,-
Marabá (PA),14114,-
Maracanã (PA),2577,-
Marapanim (PA),2145,-
Marituba (PA),...,...
Medicilândia (PA),42642,38569
Melgaço (PA),2410,10
Mocajuba (PA),3109,1125
Moju (PA),27768,80
Mojuí dos Campos (PA),30743,-
Monte Alegre (PA),18322,111
Muaná (PA),1884,-
Nova Esperança do Piriá (PA),5920,-
Nova Ipixuna (PA),1136,6
Nova Timboteua (PA),2850,-
Novo Progresso (PA),13449,10
Novo Repartimento (PA),11727,8751
Óbidos (PA),21302,-
Oeiras do Pará (PA),7697,50
Oriximiná (PA),15423,-
Ourém (PA),1675,-
Ourilândia do Norte (PA),1094,420
Pacajá (PA),10466,4199
Palestina do Pará (PA),905,-
Paragominas (PA),172725,-
Parauapebas (PA),8995,90
Pau D'Arco (PA),622,-
Peixe-Boi (PA),1714,-
Piçarra (PA),4651,274
Placas (PA),15450,10355
Ponta de Pedras (PA),3408,-
Portel (PA),14076,-
Porto de Moz (PA),1206,12
Prainha (PA),4868,40
Primavera (PA),1296,-
Quatipuru (PA),508,-
Redenção (PA),10622,-
Rio Maria (PA),2478,20
Rondon do Pará (PA),51995,-
Rurópolis (PA),9323,1299
Salinópolis (PA),1080,-
Salvaterra (PA),1740,-
Santa Bárbara do Pará (PA),455,-
Santa Izabel do Pará (PA),5985,350
Santa Luzia do Pará (PA),2160,-
Santa Maria das Barreiras (PA),53681,-
Santa Maria do Pará (PA),9270,-
Santana do Araguaia (PA),101072,-
Santarém (PA),33304,166
Santarém Novo (PA),950,-
Santo Antônio do Tauá (PA),5110,-
São Caetano de Odivelas (PA),988,-
São Domingos do Araguaia (PA),4975,40
São Domingos do Capim (PA),12105,250
São Félix do Xingu (PA),10840,2600
São Francisco do Pará (PA),5875,-
São Geraldo do Araguaia (PA),9735,1020
São João da Ponta (PA),505,3
São João de Pirabas (PA),525,-
São João do Araguaia (PA),1872,-
São Miguel do Guamá (PA),6998,-
São Sebastião da Boa Vista (PA),5070,-
Sapucaia (PA),526,-
Senador José Porfírio (PA),4109,1800
Soure (PA),125,-
Tailândia (PA),72624,-
Terra Alta (PA),464,-
Terra Santa (PA),93,-
Tomé-Açu (PA),48824,3770
Tracuateua (PA),4359,-
Trairão (PA),12037,1450
Tucumã (PA),5562,4200
Tucuruí (PA),1953,32
Ulianópolis (PA),88940,-
Uruará (PA),17525,13006
Vigia (PA),1045,-
Viseu (PA),7815,-
Vitória do Xingu (PA),5498,4169
Xinguara (PA),2667,175
Serra do Navio (AP),829,-
Amapá (AP),423,-
Pedra Branca do Amapari (AP),1505,-
Calçoene (AP),990,-
Cutias (AP),398,-
Ferreira Gomes (AP),629,-
Itaubal (AP),4476,-
Laranjal do Jari (AP),1432,-
Macapá (AP),10334,-
Mazagão (AP),1337,-
Oiapoque (AP),2091,-
Porto Grande (AP),1657,-
Pracuúba (AP),611,-
Santana (AP),910,-
Tartarugalzinho (AP),8246,-
Vitória do Jari (AP),960,-
Abreulândia (TO),10470,-
Aguiarnópolis (TO),388,-
Aliança do Tocantins (TO),7527,-
Almas (TO),8969,-
Alvorada (TO),30254,-
Ananás (TO),398,-
Angico (TO),512,-
Aparecida do Rio Negro (TO),26953,-
Aragominas (TO),1525,-
Araguacema (TO),19944,-
Araguaçu (TO),10823,-
Araguaína (TO),8656,-
Araguanã (TO),23,-
Araguatins (TO),1386,-
Arapoema (TO),1710,-
Arraias (TO),1235,-
Augustinópolis (TO),243,-
Aurora do Tocantins (TO),195,-
Axixá do Tocantins (TO),279,-
Babaçulândia (TO),3237,-
Bandeirantes do Tocantins (TO),745,-
Barra do Ouro (TO),6471,-
Barrolândia (TO),241,-
Bernardo Sayão (TO),580,-
Bom Jesus do Tocantins (TO),21219,-
Brasilândia do Tocantins (TO),320,-
Brejinho de Nazaré (TO),26709,-
Buriti do Tocantins (TO),123,-
Cachoeirinha (TO),303,-
Campos Lindos (TO),95514,-
Cariri do Tocantins (TO),20102,-
Carmolândia (TO),7,-
Carrasco Bonito (TO),139,-
Caseara (TO),53549,-
Centenário (TO),3365,-
Chapada de Areia (TO),164,-
Chapada da Natividade (TO),11702,-
Colinas do Tocantins (TO),107,-
Combinado (TO),151,-
Conceição do Tocantins (TO),242,-
Couto Magalhães (TO),4470,-
Cristalândia (TO),7999,-
Crixás do Tocantins (TO),7782,-
Darcinópolis (TO),13726,-
Dianópolis (TO),1564,-
Divinópolis do Tocantins (TO),9186,-
Dois Irmãos do Tocantins (TO),6132,-
Dueré (TO),13519,-
Esperantina (TO),328,-
Fátima (TO),2239,-
Figueirópolis (TO),27305,-
Filadélfia (TO),104,-
Formoso do Araguaia (TO),27704,-
Tabocão (TO),8132,-
Goianorte (TO),3400,-
Goiatins (TO),26532,-
Guaraí (TO),11594,-
Gurupi (TO),11871,-
Ipueiras (TO),3661,-
Itacajá (TO),9820,-
Itaguatins (TO),198,-
Itapiratins (TO),13825,-
Itaporã do Tocantins (TO),305,-
Jaú do Tocantins (TO),3040,-
Juarina (TO),277,-
Lagoa da Confusão (TO),106296,-
Lagoa do Tocantins (TO),2520,-
Lajeado (TO),245,-
Lavandeira (TO),148,-
Lizarda (TO),5890,-
Luzinópolis (TO),402,-
Marianópolis do Tocantins (TO),24682,-
Mateiros (TO),51217,-
Maurilândia do Tocantins (TO),261,-
Miracema do Tocantins (TO),22600,-
Miranorte (TO),16189,-
Monte do Carmo (TO),42833,-
Monte Santo do Tocantins (TO),1043,-
Palmeiras do Tocantins (TO),400,-
Muricilândia (TO),1220,-
Natividade (TO),2857,-
Nazaré (TO),317,-
Nova Olinda (TO),903,-
Nova Rosalândia (TO),8383,-
Novo Acordo (TO),6580,-
Novo Alegre (TO),152,-
Novo Jardim (TO),186,-
Oliveira de Fátima (TO),1810,-
Palmeirante (TO),17170,-
Palmeirópolis (TO),3559,-
Paraíso do Tocantins (TO),1395,-
Paranã (TO),490,-
Pau D'Arco (TO),440,-
Pedro Afonso (TO),56068,-
Peixe (TO),55847,-
Pequizeiro (TO),450,-
Colméia (TO),137,-
Pindorama do Tocantins (TO),1280,-
Piraquê (TO),6347,-
Pium (TO),33923,-
Ponte Alta do Bom Jesus (TO),401,-
Ponte Alta do Tocantins (TO),262,-
Porto Alegre do Tocantins (TO),158,-
Porto Nacional (TO),55777,-
Praia Norte (TO),278,-
Presidente Kennedy (TO),460,-
Pugmil (TO),2360,-
Recursolândia (TO),520,-
Riachinho (TO),357,-
Rio da Conceição (TO),78,-
Rio dos Bois (TO),17310,-
Rio Sono (TO),3495,-
Sampaio (TO),584,-
Sandolândia (TO),642,-
Santa Fé do Araguaia (TO),19593,-
Santa Maria do Tocantins (TO),10050,-
Santa Rita do Tocantins (TO),22602,-
Santa Rosa do Tocantins (TO),35137,-
Santa Tereza do Tocantins (TO),50,-
Santa Terezinha do Tocantins (TO),151,-
São Bento do Tocantins (TO),1665,-
São Félix do Tocantins (TO),47,-
São Miguel do Tocantins (TO),221,-
São Salvador do Tocantins (TO),177,-
São Sebastião do Tocantins (TO),139,-
São Valério (TO),18120,-
Silvanópolis (TO),20295,-
Sítio Novo do Tocantins (TO),123,-
Sucupira (TO),18402,-
Taguatinga (TO),3575,-
Taipas do Tocantins (TO),131,-
Talismã (TO),14491,-
Palmas (TO),26146,-
Tocantínia (TO),2863,-
Tocantinópolis (TO),241,-
Tupirama (TO),13394,-
Tupiratins (TO),1210,-
Wanderlândia (TO),3713,-
Xambioá (TO),796,-
Açailândia (MA),42246,-
Afonso Cunha (MA),6691,-
Água Doce do Maranhão (MA),1449,-
Alcântara (MA),1288,-
Aldeias Altas (MA),8926,-
Altamira do Maranhão (MA),1487,-
Alto Alegre do Maranhão (MA),552,-
Alto Alegre do Pindaré (MA),2651,-
Alto Parnaíba (MA),79204,-
Amapá do Maranhão (MA),473,-
Amarante do Maranhão (MA),2004,-
Anajatuba (MA),1381,-
Anapurus (MA),11400,-
Apicum-Açu (MA),574,-
Araguanã (MA),1206,-
Araioses (MA),2637,-
Arame (MA),12051,-
Arari (MA),3123,-
Axixá (MA),575,-
Bacabal (MA),2310,-
Bacabeira (MA),533,-
Bacuri (MA),909,-
Bacurituba (MA),419,-
Balsas (MA),333506,-
Barão de Grajaú (MA),1966,-
Barra do Corda (MA),11111,-
Barreirinhas (MA),6120,-
Belágua (MA),1909,-
Bela Vista do Maranhão (MA),651,-
Benedito Leite (MA),3684,-
Bequimão (MA),2124,-
Bernardo do Mearim (MA),1187,-
Boa Vista do Gurupi (MA),425,-
Bom Jardim (MA),15881,-
Bom Jesus das Selvas (MA),10600,-
Bom Lugar (MA),1460,-
Brejo (MA),27653,-
Brejo de Areia (MA),975,-
Buriti (MA),16766,-
Buriti Bravo (MA),5835,-
Buriticupu (MA),34911,-
Buritirana (MA),295,-
Cachoeira Grande (MA),1273,-
Cajapió (MA),821,-
Cajari (MA),1189,-
Campestre do Maranhão (MA),7975,-
Cândido Mendes (MA),1322,-
Cantanhede (MA),5207,-
Capinzal do Norte (MA),1520,-
Carolina (MA),45132,-
Carutapera (MA),2039,-
Caxias (MA),11757,-
Cedral (MA),705,-
Central do Maranhão (MA),589,-
Centro do Guilherme (MA),1485,-
Centro Novo do Maranhão (MA),2382,-
Chapadinha (MA),7238,-
Cidelândia (MA),515,-
Codó (MA),6367,-
Coelho Neto (MA),7937,-
Colinas (MA),11128,-
Conceição do Lago-Açu (MA),530,-
Coroatá (MA),4491,-
Cururupu (MA),555,-
Davinópolis (MA),309,-
Dom Pedro (MA),2163,-
Duque Bacelar (MA),1838,-
Esperantinópolis (MA),1928,-
Estreito (MA),1332,-
Feira Nova do Maranhão (MA),2983,-
Fernando Falcão (MA),9431,-
Formosa da Serra Negra (MA),2350,-
Fortaleza dos Nogueiras (MA),16788,-
Fortuna (MA),3249,-
Godofredo Viana (MA),670,-
Gonçalves Dias (MA),1772,-
Governador Archer (MA),654,-
Governador Edison Lobão (MA),269,-
Governador Eugênio Barros (MA),3713,-
Governador Luiz Rocha (MA),3435,-
Governador Newton Bello (MA),1346,-
Governador Nunes Freire (MA),1695,-
Graça Aranha (MA),1335,-
Grajaú (MA),28939,-
Guimarães (MA),883,-
Humberto de Campos (MA),758,-
Icatu (MA),1303,-
Igarapé do Meio (MA),765,-
Igarapé Grande (MA),1393,-
Imperatriz (MA),320,-
Itaipava do Grajaú (MA),1310,-
Itapecuru Mirim (MA),3951,-
Itinga do Maranhão (MA),21076,-
Jatobá (MA),4052,-
Jenipapo dos Vieiras (MA),1565,-
João Lisboa (MA),417,-
Joselândia (MA),898,-
Junco do Maranhão (MA),652,-
Lago da Pedra (MA),5544,-
Lago do Junco (MA),1310,-
Lago Verde (MA),695,-
Lagoa do Mato (MA),5213,-
Lago dos Rodrigues (MA),1231,-
Lagoa Grande do Maranhão (MA),1205,-
Lajeado Novo (MA),783,-
Lima Campos (MA),1336,-
Loreto (MA),64692,-
Luís Domingues (MA),733,-
Magalhães de Almeida (MA),6945,-
Maracaçumé (MA),1210,-
Marajá do Sena (MA),1697,-
Maranhãozinho (MA),1192,-
Mata Roma (MA),11584,-
Matinha (MA),1536,-
Matões (MA),4948,-
Matões do Norte (MA),5318,-
Milagres do Maranhão (MA),5256,-
Mirador (MA),17395,-
Miranda do Norte (MA),1531,-
Mirinzal (MA),1061,-
Monção (MA),2780,-
Montes Altos (MA),479,-
Morros (MA),1136,-
Nina Rodrigues (MA),2579,-
Nova Colinas (MA),4716,-
Nova Iorque (MA),1576,-
Nova Olinda do Maranhão (MA),2095,-
Olho d'Água das Cunhãs (MA),808,-
Olinda Nova do Maranhão (MA),996,-
Paço do Lumiar (MA),119,-
Palmeirândia (MA),2355,-
Paraibano (MA),2185,-
Parnarama (MA),13585,-
Passagem Franca (MA),3952,-
Pastos Bons (MA),8485,-
Paulino Neves (MA),1636,-
Paulo Ramos (MA),1480,-
Pedreiras (MA),1465,-
Pedro do Rosário (MA),1979,-
Penalva (MA),2464,-
Peri Mirim (MA),1050,-
Peritoró (MA),1881,-
Pindaré-Mirim (MA),712,-
Pinheiro (MA),2335,-
Pio XII (MA),987,-
Pirapemas (MA),3748,-
Poção de Pedras (MA),1750,-
Porto Franco (MA),1107,-
Porto Rico do Maranhão (MA),730,-
Presidente Dutra (MA),2250,-
Presidente Juscelino (MA),852,-
Presidente Médici (MA),778,-
Presidente Sarney (MA),1976,-
Presidente Vargas (MA),2388,-
Primeira Cruz (MA),818,-
Raposa (MA),29,-
Riachão (MA),76856,-
Ribamar Fiquene (MA),2221,-
Rosário (MA),720,-
Sambaíba (MA),95069,-
Santa Filomena do Maranhão (MA),953,-
Santa Helena (MA),1083,-
Santa Inês (MA),1369,-
Santa Luzia (MA),15602,-
Santa Luzia do Paruá (MA),1355,-
Santa Quitéria do Maranhão (MA),5621,-
Santa Rita (MA),1071,-
Santana do Maranhão (MA),1933,-
Santo Amaro do Maranhão (MA),3410,-
Santo Antônio dos Lopes (MA),1633,-
São Benedito do Rio Preto (MA),4269,-
São Bento (MA),1257,-
São Bernardo (MA),4186,-
São Domingos do Azeitão (MA),40808,-
São Domingos do Maranhão (MA),6084,-
São Félix de Balsas (MA),4242,-
São Francisco do Brejão (MA),543,-
São Francisco do Maranhão (MA),3450,-
São João Batista (MA),942,-
São João do Carú (MA),2185,-
São João do Paraíso (MA),691,-
São João do Soter (MA),2858,-
São João dos Patos (MA),4038,-
São José de Ribamar (MA),42,-
São José dos Basílios (MA),1916,-
São Luís (MA),81,-
São Luís Gonzaga do Maranhão (MA),2055,-
São Mateus do Maranhão (MA),9289,-
São Pedro da Água Branca (MA),333,-
São Pedro dos Crentes (MA),1955,-
São Raimundo das Mangabeiras (MA),54753,-
São Raimundo do Doca Bezerra (MA),1050,-
São Roberto (MA),523,-
São Vicente Ferrer (MA),1560,-
Satubinha (MA),580,-
Senador Alexandre Costa (MA),5093,-
Senador La Rocque (MA),311,-
Serrano do Maranhão (MA),1114,-
Sítio Novo (MA),2882,-
Sucupira do Norte (MA),3871,-
Sucupira do Riachão (MA),1100,-
Tasso Fragoso (MA),263327,-
Timbiras (MA),3557,-
Timon (MA),7087,-
Trizidela do Vale (MA),1039,-
Tufilândia (MA),358,-
Tuntum (MA),9160,-
Turiaçu (MA),3359,-
Turilândia (MA),1513,-
Tutóia (MA),3632,-
Urbano Santos (MA),5488,-
Vargem Grande (MA),3079,-
Viana (MA),2169,-
Vila Nova dos Martírios (MA),3724,-
Vitória do Mearim (MA),2079,-
Vitorino Freire (MA),2467,-
Zé Doca (MA),5224,-
Acauã (PI),5014,-
Agricolândia (PI),1775,-
Água Branca (PI),832,-
Alagoinha do Piauí (PI),8620,-
Alegrete do Piauí (PI),4640,-
Alto Longá (PI),3027,-
Altos (PI),3372,-
Alvorada do Gurguéia (PI),5415,-
Amarante (PI),3713,-
Angical do Piauí (PI),1014,-
Anísio de Abreu (PI),3940,-
Antônio Almeida (PI),5930,-
Aroazes (PI),1663,-
Aroeiras do Itaim (PI),3534,-
Arraial (PI),1289,-
Assunção do Piauí (PI),6016,-
Avelino Lopes (PI),2310,-
Baixa Grande do Ribeiro (PI),247687,-
Barra D'Alcântara (PI),1009,-
Barras (PI),5871,-
Barreiras do Piauí (PI),495,-
Barro Duro (PI),1385,-
Batalha (PI),5405,-
Bela Vista do Piauí (PI),1617,-
Belém do Piauí (PI),2585,-
Beneditinos (PI),2436,-
Bertolínia (PI),636,-
Betânia do Piauí (PI),3675,-
Boa Hora (PI),1741,-
Bocaina (PI),2839,-
Bom Jesus (PI),86070,-
Bom Princípio do Piauí (PI),9144,-
Bonfim do Piauí (PI),2847,-
Boqueirão do Piauí (PI),853,-
Brasileira (PI),2444,-
Brejo do Piauí (PI),1432,-
Buriti dos Lopes (PI),5253,-
Buriti dos Montes (PI),4337,-
Cabeceiras do Piauí (PI),1635,-
Cajazeiras do Piauí (PI),1741,-
Cajueiro da Praia (PI),2720,-
Caldeirão Grande do Piauí (PI),8150,-
Campinas do Piauí (PI),3196,-
Campo Alegre do Fidalgo (PI),1164,-
Campo Grande do Piauí (PI),5820,-
Campo Largo do Piauí (PI),690,-
Campo Maior (PI),3281,-
Canavieira (PI),1578,-
Canto do Buriti (PI),11742,-
Capitão de Campos (PI),4552,-
Capitão Gervásio Oliveira (PI),1030,-
Caracol (PI),5249,-
Caraúbas do Piauí (PI),1631,-
Caridade do Piauí (PI),2650,-
Castelo do Piauí (PI),4791,-
Caxingó (PI),2020,-
Cocal (PI),21698,-
Cocal de Telha (PI),580,-
Cocal dos Alves (PI),6021,-
Coivaras (PI),1496,-
Colônia do Gurguéia (PI),787,-
Colônia do Piauí (PI),3263,-
Conceição do Canindé (PI),761,-
Coronel José Dias (PI),1420,-
Corrente (PI),24264,-
Cristalândia do Piauí (PI),1472,-
Cristino Castro (PI),886,-
Curimatá (PI),3910,-
Currais (PI),65566,-
Curralinhos (PI),760,-
Curral Novo do Piauí (PI),2500,-
Demerval Lobão (PI),1310,-
Dirceu Arcoverde (PI),1471,-
Dom Expedito Lopes (PI),4368,-
Domingos Mourão (PI),2398,-
Dom Inocêncio (PI),5105,-
Elesbão Veloso (PI),4522,-
Eliseu Martins (PI),1744,-
Esperantina (PI),5196,-
Fartura do Piauí (PI),1325,-
Flores do Piauí (PI),2009,-
Floresta do Piauí (PI),1720,-
Floriano (PI),3717,-
Francinópolis (PI),2206,-
Francisco Ayres (PI),2627,-
Francisco Macedo (PI),1597,-
Francisco Santos (PI),3770,-
Fronteiras (PI),7110,-
Geminiano (PI),4585,-
Gilbués (PI),37247,-
Guadalupe (PI),1950,-
Guaribas (PI),1942,-
Hugo Napoleão (PI),1311,-
Ilha Grande (PI),665,-
Inhuma (PI),8890,-
Ipiranga do Piauí (PI),2109,-
Isaías Coelho (PI),3610,-
Itainópolis (PI),6532,-
Itaueira (PI),11430,-
Jacobina do Piauí (PI),2059,-
Jaicós (PI),8707,-
Jardim do Mulato (PI),939,-
Jatobá do Piauí (PI),1840,-
Jerumenha (PI),332,-
João Costa (PI),2267,-
Joaquim Pires (PI),2665,-
Joca Marques (PI),745,-
José de Freitas (PI),7244,-
Juazeiro do Piauí (PI),1024,-
Júlio Borges (PI),1330,-
Jurema (PI),3720,-
Lagoinha do Piauí (PI),680,-
Lagoa Alegre (PI),1135,-
Lagoa do Barro do Piauí (PI),2334,-
Lagoa de São Francisco (PI),2566,-
Lagoa do Piauí (PI),841,-
Lagoa do Sítio (PI),5474,-
Landri Sales (PI),9301,-
Luís Correia (PI),11405,-
Luzilândia (PI),3061,-
Madeiro (PI),639,-
Manoel Emídio (PI),1195,-
Marcolândia (PI),1716,-
Marcos Parente (PI),397,-
Massapê do Piauí (PI),2315,-
Matias Olímpio (PI),1240,-
Miguel Alves (PI),8609,-
Miguel Leão (PI),1174,-
Milton Brandão (PI),3411,-
Monsenhor Gil (PI),3356,-
Monsenhor Hipólito (PI),5200,-
Monte Alegre do Piauí (PI),28487,-
Morro Cabeça no Tempo (PI),2030,-
Morro do Chapéu do Piauí (PI),1332,-
Murici dos Portelas (PI),4514,-
Nazaré do Piauí (PI),457,-
Nazária (PI),1843,-
Nossa Senhora de Nazaré (PI),695,-
Nossa Senhora dos Remédios (PI),1148,-
Novo Oriente do Piauí (PI),1721,-
Novo Santo Antônio (PI),1330,-
Oeiras (PI),7768,-
Olho D'Água do Piauí (PI),1070,-
Padre Marcos (PI),4160,-
Paes Landim (PI),1943,-
Pajeú do Piauí (PI),1774,-
Palmeira do Piauí (PI),13246,-
Palmeirais (PI),6509,-
Paquetá (PI),6075,-
Parnaguá (PI),3760,-
Parnaíba (PI),1395,-
Passagem Franca do Piauí (PI),740,-
Patos do Piauí (PI),2784,-
Pau D'Arco do Piauí (PI),1288,-
Paulistana (PI),3643,-
Pavussu (PI),1759,-
Pedro II (PI),5101,-
Pedro Laurentino (PI),1248,-
Nova Santa Rita (PI),2922,-
Picos (PI),5407,-
Pimenteiras (PI),3188,-
Pio IX (PI),39381,-
Piracuruca (PI),5283,-
Piripiri (PI),5331,-
Porto (PI),613,-
Porto Alegre do Piauí (PI),317,-
Prata do Piauí (PI),190,-
Queimada Nova (PI),3627,-
Redenção do Gurguéia (PI),2788,-
Regeneração (PI),11838,-
Riacho Frio (PI),667,-
Ribeira do Piauí (PI),2006,-
Ribeiro Gonçalves (PI),105822,-
Rio Grande do Piauí (PI),2563,-
Santa Cruz do Piauí (PI),3202,-
Santa Cruz dos Milagres (PI),681,-
Santa Filomena (PI),72252,-
Santa Luz (PI),1819,-
Santana do Piauí (PI),2900,-
Santa Rosa do Piauí (PI),1906,-
Santo Antônio de Lisboa (PI),5392,-
Santo Antônio dos Milagres (PI),223,-
Santo Inácio do Piauí (PI),1705,-
São Braz do Piauí (PI),2550,-
São Félix do Piauí (PI),970,-
São Francisco de Assis do Piauí (PI),2032,-
São Francisco do Piauí (PI),2740,-
São Gonçalo do Gurguéia (PI),2165,-
São Gonçalo do Piauí (PI),2774,-
São João da Canabrava (PI),3536,-
São João da Fronteira (PI),2500,-
