local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,78586195,577550
Alta Floresta D'Oeste (RO),17677,50
Ariquemes (RO),9599,1394
Cabixi (RO),50179,15
Cacoal (RO),15818,266
Cerejeiras (RO),58200,5
Colorado do Oeste (RO),5280,-
Corumbiara (RO),58672,16
Costa Marques (RO),1473,-
Espigão D'Oeste (RO),5275,10
Guajará-Mirim (RO),753,-
Jaru (RO),3234,940
Ji-Paraná (RO),787,174
Machadinho D'Oeste (RO),16376,252
Nova Brasilândia D'Oeste (RO),6366,7
Ouro Preto do Oeste (RO),1348,816
Pimenta Bueno (RO),2025,4
Porto Velho (RO),44187,526
Presidente Médici (RO),1078,68
Rio Crespo (RO),21088,10
Rolim de Moura (RO),5628,28
Santa Luzia D'Oeste (RO),2248,10
Vilhena (RO),89877,5
São Miguel do Guaporé (RO),27921,5
Nova Mamoré (RO),2977,32
Alvorada D'Oeste (RO),2364,53
Alto Alegre dos Parecis (RO),23085,35
Alto Paraíso (RO),12828,40
Buritis (RO),6092,1301
Novo Horizonte do Oeste (RO),4714,11
Cacaulândia (RO),896,369
Campo Novo de Rondônia (RO),2153,80
Candeias do Jamari (RO),7828,-
Castanheiras (RO),4120,6
Chupinguaia (RO),40478,-
Cujubim (RO),11965,78
Governador Jorge Teixeira (RO),1858,600
Itapuã do Oeste (RO),3747,-
Ministro Andreazza (RO),6285,46
Mirante da Serra (RO),3382,85
Monte Negro (RO),1033,100
Nova União (RO),1026,178
Parecis (RO),2169,2
Pimenteiras do Oeste (RO),52096,-
Primavera de Rondônia (RO),820,5
São Felipe D'Oeste (RO),1813,65
São Francisco do Guaporé (RO),4690,-
Seringueiras (RO),7277,2
Teixeirópolis (RO),326,54
Theobroma (RO),2924,384
Urupá (RO),739,200
Vale do Anari (RO),1970,40
Vale do Paraíso (RO),640,251
Acrelândia (AC),4731,-
Assis Brasil (AC),1900,-
Brasiléia (AC),3760,-
Bujari (AC),3709,-
Capixaba (AC),4261,-
Cruzeiro do Sul (AC),4947,-
Epitaciolândia (AC),3641,-
Feijó (AC),7242,-
Jordão (AC),1176,-
Mâncio Lima (AC),3430,-
Manoel Urbano (AC),1798,-
Marechal Thaumaturgo (AC),3796,-
Plácido de Castro (AC),3058,-
Porto Walter (AC),1438,-
Rio Branco (AC),5377,-
Rodrigues Alves (AC),3483,-
Santa Rosa do Purus (AC),890,-
Senador Guiomard (AC),4979,-
Sena Madureira (AC),6061,-
Tarauacá (AC),7356,-
Xapuri (AC),3678,-
Porto Acre (AC),4619,-
Alvarães (AM),5366,11
Amaturá (AM),374,-
Anamã (AM),511,-
Anori (AM),571,-
Apuí (AM),1617,40
Atalaia do Norte (AM),424,-
Autazes (AM),5475,40
Barcelos (AM),105,-
Barreirinha (AM),119,-
Benjamin Constant (AM),792,-
Beruri (AM),107,-
Boa Vista do Ramos (AM),106,-
Boca do Acre (AM),1354,250
Borba (AM),1097,80
Caapiranga (AM),541,-
