local,total_area_plantada_hectare,total_cacau_semente_hectare
Itaipava do Grajaú (MA),6233,-
Itapecuru Mirim (MA),14359,-
Itinga do Maranhão (MA),8513,-
Jatobá (MA),5205,-
Jenipapo dos Vieiras (MA),4929,-
João Lisboa (MA),636,-
Joselândia (MA),6715,-
Junco do Maranhão (MA),1074,-
Lago da Pedra (MA),9859,-
Lago do Junco (MA),2640,-
Lago Verde (MA),3229,-
Lagoa do Mato (MA),5184,-
Lago dos Rodrigues (MA),2991,-
Lagoa Grande do Maranhão (MA),7885,-
Lajeado Novo (MA),650,-
Lima Campos (MA),1943,-
Loreto (MA),45830,-
Luís Domingues (MA),852,-
Magalhães de Almeida (MA),11561,-
Maracaçumé (MA),2460,-
Marajá do Sena (MA),7114,-
Maranhãozinho (MA),4231,-
Mata Roma (MA),12808,-
Matinha (MA),2865,-
Matões (MA),6252,-
Matões do Norte (MA),5557,-
Milagres do Maranhão (MA),8594,-
Mirador (MA),13210,-
Miranda do Norte (MA),1513,-
Mirinzal (MA),1531,-
Monção (MA),5443,-
Montes Altos (MA),1039,-
Morros (MA),2475,-
Nina Rodrigues (MA),5427,-
Nova Colinas (MA),8210,-
Nova Iorque (MA),1774,-
Nova Olinda do Maranhão (MA),5730,-
Olho d'Água das Cunhãs (MA),3000,-
Olinda Nova do Maranhão (MA),3266,-
Paço do Lumiar (MA),91,-
Palmeirândia (MA),4750,-
Paraibano (MA),6432,-
Parnarama (MA),8959,-
Passagem Franca (MA),4417,-
Pastos Bons (MA),11181,-
Paulino Neves (MA),6225,-
Paulo Ramos (MA),7543,-
Pedreiras (MA),2811,-
Pedro do Rosário (MA),3446,-
Penalva (MA),5814,-
Peri Mirim (MA),1699,-
Peritoró (MA),2608,-
Pindaré-Mirim (MA),975,-
Pinheiro (MA),6746,-
Pio XII (MA),2533,-
Pirapemas (MA),10392,-
Poção de Pedras (MA),8068,-
Porto Franco (MA),1483,-
Porto Rico do Maranhão (MA),1047,-
Presidente Dutra (MA),6524,-
Presidente Juscelino (MA),2232,-
Presidente Médici (MA),1328,-
Presidente Sarney (MA),4709,-
Presidente Vargas (MA),3448,-
Primeira Cruz (MA),1963,-
Raposa (MA),48,-
Riachão (MA),63673,-
Ribamar Fiquene (MA),1346,-
Rosário (MA),5463,-
Sambaíba (MA),72648,-
Santa Filomena do Maranhão (MA),3823,-
Santa Helena (MA),2979,-
Santa Inês (MA),2282,-
Santa Luzia (MA),38356,-
Santa Luzia do Paruá (MA),4688,-
Santa Quitéria do Maranhão (MA),9040,-
Santa Rita (MA),3881,-
Santana do Maranhão (MA),5061,-
Santo Amaro do Maranhão (MA),4075,-
Santo Antônio dos Lopes (MA),4246,-
São Benedito do Rio Preto (MA),5034,-
São Bento (MA),3432,-
São Bernardo (MA),8298,-
São Domingos do Azeitão (MA),35855,-
São Domingos do Maranhão (MA),10379,-
São Félix de Balsas (MA),5093,-
São Francisco do Brejão (MA),440,-
São Francisco do Maranhão (MA),5104,-
São João Batista (MA),1733,-
São João do Carú (MA),10274,-
São João do Paraíso (MA),1281,-
São João do Soter (MA),3961,-
São João dos Patos (MA),5943,-
São José de Ribamar (MA),46,-
São José dos Basílios (MA),4485,-
São Luís (MA),241,-
São Luís Gonzaga do Maranhão (MA),8887,-
São Mateus do Maranhão (MA),6372,-
São Pedro da Água Branca (MA),277,-
São Pedro dos Crentes (MA),4067,-
São Raimundo das Mangabeiras (MA),49370,-
São Raimundo do Doca Bezerra (MA),3663,-
São Roberto (MA),1426,-
São Vicente Ferrer (MA),3057,-
Satubinha (MA),1920,-
Senador Alexandre Costa (MA),5297,-
Senador La Rocque (MA),554,-
Serrano do Maranhão (MA),2786,-
Sítio Novo (MA),2525,-
Sucupira do Norte (MA),6338,-
Sucupira do Riachão (MA),2535,-
Tasso Fragoso (MA),204365,-
Timbiras (MA),5051,-
Timon (MA),7663,-
Trizidela do Vale (MA),1944,-
Tufilândia (MA),414,-
Tuntum (MA),13731,-
Turiaçu (MA),10540,-
Turilândia (MA),5815,-
Tutóia (MA),10572,-
Urbano Santos (MA),7997,-
Vargem Grande (MA),13355,-
Viana (MA),5298,-
Vila Nova dos Martírios (MA),1753,-
Vitória do Mearim (MA),4123,-
Vitorino Freire (MA),9170,-
Zé Doca (MA),9763,-
Acauã (PI),5729,-
Agricolândia (PI),2424,-
Água Branca (PI),1280,-
Alagoinha do Piauí (PI),10514,-
Alegrete do Piauí (PI),3247,-
Alto Longá (PI),3508,-
Altos (PI),3367,-
Alvorada do Gurguéia (PI),15164,-
Amarante (PI),4277,-
Angical do Piauí (PI),1304,-
Anísio de Abreu (PI),4098,-
Antônio Almeida (PI),6641,-
Aroazes (PI),1777,-
Aroeiras do Itaim (PI),2055,-
Arraial (PI),1218,-
Assunção do Piauí (PI),6399,-
Avelino Lopes (PI),2542,-
Baixa Grande do Ribeiro (PI),209569,-
Barra D'Alcântara (PI),579,-
Barras (PI),5710,-
Barreiras do Piauí (PI),500,-
Barro Duro (PI),1714,-
Batalha (PI),6157,-
Bela Vista do Piauí (PI),1659,-
Belém do Piauí (PI),2166,-
Beneditinos (PI),2484,-
Bertolínia (PI),560,-
Betânia do Piauí (PI),4969,-
Boa Hora (PI),2052,-
Bocaina (PI),2233,-
Bom Jesus (PI),86178,-
Bom Princípio do Piauí (PI),9204,-
Bonfim do Piauí (PI),2707,-
Boqueirão do Piauí (PI),742,-
Brasileira (PI),2862,-
Brejo do Piauí (PI),780,-
Buriti dos Lopes (PI),5187,-
Buriti dos Montes (PI),4401,-
Cabeceiras do Piauí (PI),1625,-
Cajazeiras do Piauí (PI),1950,-
Cajueiro da Praia (PI),2019,-
Caldeirão Grande do Piauí (PI),6222,-
Campinas do Piauí (PI),3113,-
Campo Alegre do Fidalgo (PI),1452,-
Campo Grande do Piauí (PI),6257,-
Campo Largo do Piauí (PI),800,-
Campo Maior (PI),3854,-
Canavieira (PI),952,-
Canto do Buriti (PI),11101,-
Capitão de Campos (PI),4036,-
Capitão Gervásio Oliveira (PI),1808,-
Caracol (PI),6144,-
Caraúbas do Piauí (PI),1712,-
Caridade do Piauí (PI),2812,-
Castelo do Piauí (PI),4043,-
Caxingó (PI),2092,-
Cocal (PI),18052,-
Cocal de Telha (PI),769,-
Cocal dos Alves (PI),5754,-
Coivaras (PI),1276,-
Colônia do Gurguéia (PI),951,-
Colônia do Piauí (PI),2989,-
Conceição do Canindé (PI),1585,-
Coronel José Dias (PI),1405,-
Corrente (PI),17549,-
Cristalândia do Piauí (PI),2010,-
Cristino Castro (PI),1514,-
Curimatá (PI),2280,-
Currais (PI),59017,-
Curralinhos (PI),1130,-
Curral Novo do Piauí (PI),2657,-
Demerval Lobão (PI),1429,-
Dirceu Arcoverde (PI),1521,-
Dom Expedito Lopes (PI),4283,-
Domingos Mourão (PI),2338,-
Dom Inocêncio (PI),4421,-
Elesbão Veloso (PI),5909,-
Eliseu Martins (PI),2123,-
Esperantina (PI),4648,-
Fartura do Piauí (PI),1529,-
Flores do Piauí (PI),2221,-
Floresta do Piauí (PI),1697,-
Floriano (PI),4266,-
Francinópolis (PI),2042,-
Francisco Ayres (PI),2486,-
Francisco Macedo (PI),927,-
Francisco Santos (PI),4329,-
Fronteiras (PI),5839,-
Geminiano (PI),3695,-
Gilbués (PI),48234,-
Guadalupe (PI),2668,-
Guaribas (PI),2358,-
Hugo Napoleão (PI),2063,-
Ilha Grande (PI),642,-
Inhuma (PI),8440,-
Ipiranga do Piauí (PI),3449,-
Isaías Coelho (PI),5250,-
Itainópolis (PI),7651,-
Itaueira (PI),6690,-
Jacobina do Piauí (PI),2598,-
Jaicós (PI),9456,-
Jardim do Mulato (PI),906,-
Jatobá do Piauí (PI),2715,-
Jerumenha (PI),370,-
João Costa (PI),1726,-
Joaquim Pires (PI),2180,-
Joca Marques (PI),667,-
José de Freitas (PI),7129,-
Juazeiro do Piauí (PI),1200,-
Júlio Borges (PI),1208,-
Jurema (PI),4029,-
Lagoinha do Piauí (PI),1000,-
Lagoa Alegre (PI),1394,-
Lagoa do Barro do Piauí (PI),2787,-
Lagoa de São Francisco (PI),1631,-
Lagoa do Piauí (PI),967,-
Lagoa do Sítio (PI),7950,-
Landri Sales (PI),11404,-
Luís Correia (PI),9445,-
Luzilândia (PI),3969,-
Madeiro (PI),607,-
Manoel Emídio (PI),1416,-
Marcolândia (PI),1266,-
Marcos Parente (PI),418,-
Massapê do Piauí (PI),3555,-
Matias Olímpio (PI),1174,-
Miguel Alves (PI),6771,-
Miguel Leão (PI),2026,-
Milton Brandão (PI),2820,-
Monsenhor Gil (PI),3447,-
Monsenhor Hipólito (PI),5639,-
Monte Alegre do Piauí (PI),26782,-
Morro Cabeça no Tempo (PI),2112,-
Morro do Chapéu do Piauí (PI),1568,-
Murici dos Portelas (PI),4020,-
Nazaré do Piauí (PI),499,-
Nazária (PI),2108,-
Nossa Senhora de Nazaré (PI),694,-
Nossa Senhora dos Remédios (PI),1427,-
Novo Oriente do Piauí (PI),2153,-
Novo Santo Antônio (PI),1976,-
Oeiras (PI),7386,-
Olho D'Água do Piauí (PI),1745,-
Padre Marcos (PI),2134,-
Paes Landim (PI),1953,-
Pajeú do Piauí (PI),1976,-
Palmeira do Piauí (PI),22107,-
Palmeirais (PI),6681,-
Paquetá (PI),2661,-
Parnaguá (PI),2998,-
Parnaíba (PI),1355,-
Passagem Franca do Piauí (PI),2304,-
Patos do Piauí (PI),1920,-
Pau D'Arco do Piauí (PI),1195,-
Paulistana (PI),5415,-
Pavussu (PI),1898,-
Pedro II (PI),5417,-
Pedro Laurentino (PI),1117,-
Nova Santa Rita (PI),2550,-
Picos (PI),7989,-
Pimenteiras (PI),5913,-
Pio IX (PI),29911,-
Piracuruca (PI),6036,-
Piripiri (PI),5217,-
Porto (PI),633,-
Porto Alegre do Piauí (PI),2807,-
Prata do Piauí (PI),368,-
Queimada Nova (PI),2186,-
Redenção do Gurguéia (PI),3863,-
Regeneração (PI),5807,-
Riacho Frio (PI),805,-
Ribeira do Piauí (PI),1028,-
Ribeiro Gonçalves (PI),92218,-
Rio Grande do Piauí (PI),3707,-
Santa Cruz do Piauí (PI),2815,-
Santa Cruz dos Milagres (PI),2102,-
Santa Filomena (PI),60833,-
Santa Luz (PI),2474,-
Santana do Piauí (PI),2505,-
Santa Rosa do Piauí (PI),1919,-
Santo Antônio de Lisboa (PI),4628,-
Santo Antônio dos Milagres (PI),332,-
Santo Inácio do Piauí (PI),1588,-
São Braz do Piauí (PI),2428,-
São Félix do Piauí (PI),1246,-
São Francisco de Assis do Piauí (PI),1969,-
São Francisco do Piauí (PI),2858,-
São Gonçalo do Gurguéia (PI),2212,-
São Gonçalo do Piauí (PI),1786,-
