local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,76230864,707106
Alta Floresta D'Oeste (RO),21812,80
Ariquemes (RO),6766,1394
Cabixi (RO),26439,20
Cacoal (RO),17172,266
Cerejeiras (RO),47952,5
Colorado do Oeste (RO),7076,220
Corumbiara (RO),62366,16
Costa Marques (RO),1070,-
Espigão D'Oeste (RO),5887,10
Guajará-Mirim (RO),717,6
Jaru (RO),4461,1601
Ji-Paraná (RO),3602,245
Machadinho D'Oeste (RO),20027,252
Nova Brasilândia D'Oeste (RO),7083,7
Ouro Preto do Oeste (RO),2443,1522
Pimenta Bueno (RO),1167,20
Porto Velho (RO),20790,629
Presidente Médici (RO),1976,97
Rio Crespo (RO),13213,190
Rolim de Moura (RO),6806,24
Santa Luzia D'Oeste (RO),4339,14
Vilhena (RO),79072,-
São Miguel do Guaporé (RO),24865,7
Nova Mamoré (RO),3030,166
Alvorada D'Oeste (RO),4212,82
Alto Alegre dos Parecis (RO),21444,35
Alto Paraíso (RO),5508,40
Buritis (RO),5816,907
Novo Horizonte do Oeste (RO),3616,11
Cacaulândia (RO),2637,1057
Campo Novo de Rondônia (RO),4382,91
Candeias do Jamari (RO),3374,17
Castanheiras (RO),3596,11
Chupinguaia (RO),43814,-
Cujubim (RO),7141,78
Governador Jorge Teixeira (RO),2363,1436
Itapuã do Oeste (RO),3104,1
Ministro Andreazza (RO),6436,146
Mirante da Serra (RO),6277,685
Monte Negro (RO),3512,150
Nova União (RO),2503,348
Parecis (RO),1652,7
Pimenteiras do Oeste (RO),33447,-
Primavera de Rondônia (RO),969,11
São Felipe D'Oeste (RO),4187,65
São Francisco do Guaporé (RO),2029,-
Seringueiras (RO),5843,10
Teixeirópolis (RO),635,114
Theobroma (RO),2674,384
Urupá (RO),3159,986
Vale do Anari (RO),2114,58
Vale do Paraíso (RO),1163,467
Acrelândia (AC),7400,-
Assis Brasil (AC),2395,-
Brasiléia (AC),4325,-
Bujari (AC),4452,-
Capixaba (AC),8329,-
Cruzeiro do Sul (AC),8175,-
Epitaciolândia (AC),4210,-
Feijó (AC),7203,-
Jordão (AC),1343,-
Mâncio Lima (AC),5006,-
Manoel Urbano (AC),2911,-
Marechal Thaumaturgo (AC),4939,-
Plácido de Castro (AC),5074,-
Porto Walter (AC),2294,-
Rio Branco (AC),7838,-
Rodrigues Alves (AC),6160,-
Santa Rosa do Purus (AC),738,-
Senador Guiomard (AC),7192,-
Sena Madureira (AC),14426,-
Tarauacá (AC),6794,-
Xapuri (AC),4683,-
Porto Acre (AC),7624,-
Alvarães (AM),681,21
Amaturá (AM),95,-
Anamã (AM),590,-
Anori (AM),743,-
Apuí (AM),3141,650
Atalaia do Norte (AM),813,-
Autazes (AM),2375,160
Barcelos (AM),191,-
Barreirinha (AM),639,10
Benjamin Constant (AM),1125,-
Beruri (AM),940,-
Boa Vista do Ramos (AM),646,18
Boca do Acre (AM),1842,300
Borba (AM),1970,740
Caapiranga (AM),494,-
Canutama (AM),60,-
Carauari (AM),916,-
Careiro (AM),1493,-
Careiro da Várzea (AM),554,-
Coari (AM),1212,65
Codajás (AM),2100,10
Eirunepé (AM),1204,-
Envira (AM),2107,-
Fonte Boa (AM),789,500
Guajará (AM),1668,-
Humaitá (AM),2356,100
Ipixuna (AM),424,50
Iranduba (AM),1438,-
Itacoatiara (AM),2870,-
Itamarati (AM),295,-
Itapiranga (AM),551,25
Japurá (AM),308,-
Juruá (AM),301,-
Jutaí (AM),2017,300
Lábrea (AM),1357,-
Manacapuru (AM),23639,50
Manaquiri (AM),647,-
Manaus (AM),620,-
Manicoré (AM),12607,1000
Maraã (AM),670,45
Maués (AM),7344,-
Nhamundá (AM),1030,-
Nova Olinda do Norte (AM),2147,130
Novo Airão (AM),507,-
Novo Aripuanã (AM),1052,60
Parintins (AM),6446,8
Pauini (AM),1721,13
Presidente Figueiredo (AM),9759,-
Rio Preto da Eva (AM),3902,-
Santa Isabel do Rio Negro (AM),985,-
Santo Antônio do Içá (AM),734,-
São Gabriel da Cachoeira (AM),50,-
São Paulo de Olivença (AM),205,-
São Sebastião do Uatumã (AM),801,-
Silves (AM),150,12
Tabatinga (AM),180,-
Tapauá (AM),4140,-
Tefé (AM),12821,484
Tonantins (AM),305,-
Uarini (AM),3062,30
Urucará (AM),1445,15
Urucurituba (AM),380,95
Amajari (RR),502,-
Alto Alegre (RR),8517,-
Boa Vista (RR),9374,-
Bonfim (RR),13877,-
Cantá (RR),3676,-
Caracaraí (RR),3067,-
Caroebe (RR),5426,3
Iracema (RR),1519,-
Mucajaí (RR),3136,-
Normandia (RR),2439,-
Pacaraima (RR),1058,-
Rorainópolis (RR),3915,-
São João da Baliza (RR),1639,-
São Luiz (RR),1264,-
Uiramutã (RR),1041,-
Abaetetuba (PA),5465,80
Abel Figueiredo (PA),1185,-
Acará (PA),38355,800
Afuá (PA),...,...
Água Azul do Norte (PA),4661,30
Alenquer (PA),17424,580
Almeirim (PA),641,35
Altamira (PA),20004,6849
Anajás (PA),211,-
Ananindeua (PA),112,-
Anapu (PA),8217,4720
Augusto Corrêa (PA),5858,-
Aurora do Pará (PA),8535,-
Aveiro (PA),2635,100
Bagre (PA),80,-
Baião (PA),2140,250
Bannach (PA),298,8
Barcarena (PA),3260,1200
Belém (PA),100,-
Belterra (PA),30644,-
Benevides (PA),...,...
Bom Jesus do Tocantins (PA),2515,-
Bonito (PA),5065,-
Bragança (PA),13343,-
Brasil Novo (PA),6526,5115
Brejo Grande do Araguaia (PA),1320,-
Breu Branco (PA),7177,165
Breves (PA),365,-
Bujaru (PA),2068,-
Cachoeira do Piriá (PA),3850,-
Cachoeira do Arari (PA),3710,-
Cametá (PA),14550,6396
Canaã dos Carajás (PA),3467,-
Capanema (PA),4089,-
Capitão Poço (PA),17065,-
Castanhal (PA),7227,60
Chaves (PA),...,...
Colares (PA),413,-
Conceição do Araguaia (PA),3115,-
Concórdia do Pará (PA),25457,270
Cumaru do Norte (PA),11119,20
Curionópolis (PA),2655,-
Curralinho (PA),304,-
Curuá (PA),157,-
Curuçá (PA),1714,-
Dom Eliseu (PA),58780,-
Eldorado do Carajás (PA),2123,120
Faro (PA),663,-
Floresta do Araguaia (PA),17190,-
Garrafão do Norte (PA),5295,-
Goianésia do Pará (PA),4320,-
Gurupá (PA),751,70
Igarapé-Açu (PA),7388,-
Igarapé-Miri (PA),2048,208
Inhangapi (PA),1961,75
Ipixuna do Pará (PA),12170,-
Irituia (PA),2214,2
Itaituba (PA),18857,220
Itupiranga (PA),8135,150
Jacareacanga (PA),2548,2
Jacundá (PA),2544,-
Juruti (PA),30867,-
Limoeiro do Ajuru (PA),236,70
Mãe do Rio (PA),1780,-
Magalhães Barata (PA),1206,-
Marabá (PA),12945,-
Maracanã (PA),1736,-
Marapanim (PA),2005,-
Marituba (PA),...,...
Medicilândia (PA),44836,36713
Melgaço (PA),187,-
Mocajuba (PA),2559,1125
Moju (PA),21228,40
Mojuí dos Campos (PA),31534,-
Monte Alegre (PA),24157,63
Muaná (PA),200,-
Nova Esperança do Piriá (PA),5940,-
Nova Ipixuna (PA),1504,-
Nova Timboteua (PA),2790,-
Novo Progresso (PA),5576,10
Novo Repartimento (PA),31161,9000
Óbidos (PA),12363,-
Oeiras do Pará (PA),4442,50
Oriximiná (PA),15658,-
Ourém (PA),1685,-
Ourilândia do Norte (PA),1190,410
Pacajá (PA),12835,3858
Palestina do Pará (PA),595,-
Paragominas (PA),58515,-
Parauapebas (PA),9945,90
Pau D'Arco (PA),574,-
Peixe-Boi (PA),1644,-
Piçarra (PA),4653,274
Placas (PA),14958,7400
Ponta de Pedras (PA),120,-
Portel (PA),4250,-
Porto de Moz (PA),1064,12
Prainha (PA),4763,40
Primavera (PA),1035,-
Quatipuru (PA),515,-
Redenção (PA),5305,-
Rio Maria (PA),1347,55
Rondon do Pará (PA),21143,-
Rurópolis (PA),10097,1600
Salinópolis (PA),1080,-
Salvaterra (PA),470,-
Santa Bárbara do Pará (PA),150,-
Santa Izabel do Pará (PA),705,-
Santa Luzia do Pará (PA),2240,-
Santa Maria das Barreiras (PA),14335,-
Santa Maria do Pará (PA),8230,-
Santana do Araguaia (PA),65275,-
Santarém (PA),52793,45
Santarém Novo (PA),910,-
Santo Antônio do Tauá (PA),4595,-
São Caetano de Odivelas (PA),877,-
São Domingos do Araguaia (PA),4168,20
São Domingos do Capim (PA),8282,250
São Félix do Xingu (PA),17707,1902
São Francisco do Pará (PA),6190,-
São Geraldo do Araguaia (PA),13668,1020
São João da Ponta (PA),486,-
São João de Pirabas (PA),536,-
São João do Araguaia (PA),1575,-
São Miguel do Guamá (PA),6298,-
São Sebastião da Boa Vista (PA),150,-
Sapucaia (PA),1163,40
Senador José Porfírio (PA),3444,1060
Soure (PA),70,-
Tailândia (PA),29590,-
Terra Alta (PA),1030,-
Terra Santa (PA),74,-
Tomé-Açu (PA),20475,3100
Tracuateua (PA),5267,-
Trairão (PA),12184,1300
Tucumã (PA),4905,3634
Tucuruí (PA),14370,900
Ulianópolis (PA),65168,-
Uruará (PA),19089,11905
Vigia (PA),1080,-
Viseu (PA),8060,-
Vitória do Xingu (PA),6349,3816
Xinguara (PA),2971,25
Serra do Navio (AP),1249,-
Amapá (AP),547,-
Pedra Branca do Amapari (AP),2241,-
Calçoene (AP),1546,-
Cutias (AP),492,-
Ferreira Gomes (AP),862,-
Itaubal (AP),5217,-
Laranjal do Jari (AP),2040,-
Macapá (AP),14832,-
Mazagão (AP),1881,-
Oiapoque (AP),3042,-
Porto Grande (AP),2371,-
Pracuúba (AP),789,-
Santana (AP),1233,-
Tartarugalzinho (AP),3502,-
Vitória do Jari (AP),1328,-
Abreulândia (TO),460,-
Aguiarnópolis (TO),275,-
Aliança do Tocantins (TO),2151,-
Almas (TO),5355,-
Alvorada (TO),29510,-
Ananás (TO),76,-
Angico (TO),575,-
Aparecida do Rio Negro (TO),20300,-
Aragominas (TO),1073,-
Araguacema (TO),6852,-
Araguaçu (TO),6912,-
Araguaína (TO),2568,-
Araguanã (TO),563,-
Araguatins (TO),735,-
Arapoema (TO),2310,-
Arraias (TO),2925,-
Augustinópolis (TO),254,-
Aurora do Tocantins (TO),1054,-
Axixá do Tocantins (TO),287,-
Babaçulândia (TO),2442,-
Bandeirantes do Tocantins (TO),500,-
Barra do Ouro (TO),10504,-
Barrolândia (TO),782,-
Bernardo Sayão (TO),330,-
Bom Jesus do Tocantins (TO),14445,-
Brasilândia do Tocantins (TO),2370,-
Brejinho de Nazaré (TO),20000,-
Buriti do Tocantins (TO),185,-
Cachoeirinha (TO),331,-
Campos Lindos (TO),118416,-
Cariri do Tocantins (TO),23955,-
Carmolândia (TO),498,-
Carrasco Bonito (TO),169,-
Caseara (TO),14917,-
Centenário (TO),2150,-
Chapada de Areia (TO),155,-
Chapada da Natividade (TO),13349,-
Colinas do Tocantins (TO),495,-
Combinado (TO),1550,-
Conceição do Tocantins (TO),681,-
Couto Magalhães (TO),3415,-
Cristalândia (TO),3410,-
Crixás do Tocantins (TO),4527,-
Darcinópolis (TO),11613,-
Dianópolis (TO),42198,-
Divinópolis do Tocantins (TO),906,-
Dois Irmãos do Tocantins (TO),1776,-
Dueré (TO),9008,-
Esperantina (TO),380,-
Fátima (TO),1200,-
Figueirópolis (TO),18332,-
Filadélfia (TO),1106,-
Formoso do Araguaia (TO),44246,-
Tabocão (TO),3280,-
Goianorte (TO),370,-
Goiatins (TO),21885,-
Guaraí (TO),11630,-
Gurupi (TO),5616,-
Ipueiras (TO),6800,-
Itacajá (TO),7000,-
Itaguatins (TO),201,-
Itapiratins (TO),12322,-
Itaporã do Tocantins (TO),420,-
Jaú do Tocantins (TO),409,-
Juarina (TO),180,-
Lagoa da Confusão (TO),103805,-
Lagoa do Tocantins (TO),2200,-
Lajeado (TO),315,-
Lavandeira (TO),612,-
Lizarda (TO),315,-
Luzinópolis (TO),631,-
Marianópolis do Tocantins (TO),6417,-
Mateiros (TO),37500,-
Maurilândia do Tocantins (TO),181,-
Miracema do Tocantins (TO),1865,-
Miranorte (TO),2820,-
Monte do Carmo (TO),31350,-
Monte Santo do Tocantins (TO),217,-
Palmeiras do Tocantins (TO),280,-
Muricilândia (TO),758,-
Natividade (TO),1865,-
Nazaré (TO),148,-
Nova Olinda (TO),1125,-
Nova Rosalândia (TO),4205,-
Novo Acordo (TO),3000,-
Novo Alegre (TO),706,-
Novo Jardim (TO),998,-
Oliveira de Fátima (TO),1550,-
Palmeirante (TO),12900,-
Palmeirópolis (TO),3530,-
Paraíso do Tocantins (TO),2056,-
Paranã (TO),647,-
Pau D'Arco (TO),350,-
Pedro Afonso (TO),43978,-
Peixe (TO),21959,-
Pequizeiro (TO),375,-
Colméia (TO),290,-
Pindorama do Tocantins (TO),624,-
Piraquê (TO),2032,-
Pium (TO),14873,-
Ponte Alta do Bom Jesus (TO),1560,-
Ponte Alta do Tocantins (TO),4980,-
Porto Alegre do Tocantins (TO),870,-
Porto Nacional (TO),46348,-
Praia Norte (TO),327,-
Presidente Kennedy (TO),2090,-
Pugmil (TO),2011,-
Recursolândia (TO),505,-
Riachinho (TO),214,-
Rio da Conceição (TO),381,-
Rio dos Bois (TO),8750,-
Rio Sono (TO),1000,-
Sampaio (TO),117,-
Sandolândia (TO),479,-
Santa Fé do Araguaia (TO),1230,-
Santa Maria do Tocantins (TO),4575,-
Santa Rita do Tocantins (TO),5000,-
Santa Rosa do Tocantins (TO),26500,-
Santa Tereza do Tocantins (TO),158,-
Santa Terezinha do Tocantins (TO),79,-
São Bento do Tocantins (TO),1274,-
São Félix do Tocantins (TO),...,...
São Miguel do Tocantins (TO),117,-
São Salvador do Tocantins (TO),193,-
São Sebastião do Tocantins (TO),140,-
São Valério (TO),15124,-
Silvanópolis (TO),15506,-
Sítio Novo do Tocantins (TO),102,-
Sucupira (TO),13117,-
Taguatinga (TO),4720,-
Taipas do Tocantins (TO),608,-
Talismã (TO),9487,-
Palmas (TO),14212,-
Tocantínia (TO),160,-
Tocantinópolis (TO),124,-
Tupirama (TO),21582,-
Tupiratins (TO),1510,-
Wanderlândia (TO),1686,-
Xambioá (TO),964,-
Açailândia (MA),11133,-
Afonso Cunha (MA),2429,-
Água Doce do Maranhão (MA),4117,-
Alcântara (MA),2216,-
Aldeias Altas (MA),12477,-
Altamira do Maranhão (MA),2509,-
Alto Alegre do Maranhão (MA),3280,-
Alto Alegre do Pindaré (MA),9957,-
Alto Parnaíba (MA),63630,-
Amapá do Maranhão (MA),1761,-
Amarante do Maranhão (MA),4146,-
Anajatuba (MA),3843,-
Anapurus (MA),15353,-
Apicum-Açu (MA),545,-
Araguanã (MA),2643,-
Araioses (MA),13287,-
Arame (MA),17317,-
Arari (MA),4830,-
Axixá (MA),1221,-
Bacabal (MA),8801,-
Bacabeira (MA),1159,-
Bacuri (MA),947,-
Bacurituba (MA),497,-
Balsas (MA),255898,-
Barão de Grajaú (MA),2883,-
Barra do Corda (MA),29908,-
Barreirinhas (MA),15203,-
Belágua (MA),3610,-
Bela Vista do Maranhão (MA),998,-
Benedito Leite (MA),1766,-
Bequimão (MA),4420,-
Bernardo do Mearim (MA),2305,-
Boa Vista do Gurupi (MA),1316,-
Bom Jardim (MA),11066,-
Bom Jesus das Selvas (MA),16641,-
Bom Lugar (MA),3760,-
Brejo (MA),31839,-
Brejo de Areia (MA),6370,-
Buriti (MA),20936,-
Buriti Bravo (MA),6188,-
Buriticupu (MA),23818,-
Buritirana (MA),963,-
Cachoeira Grande (MA),2413,-
Cajapió (MA),971,-
Cajari (MA),2055,-
Campestre do Maranhão (MA),6897,-
Cândido Mendes (MA),5236,-
Cantanhede (MA),7163,-
Capinzal do Norte (MA),4318,-
Carolina (MA),49633,-
Carutapera (MA),3800,-
Caxias (MA),15475,-
Cedral (MA),807,-
Central do Maranhão (MA),971,-
Centro do Guilherme (MA),3691,-
Centro Novo do Maranhão (MA),4752,-
Chapadinha (MA),12689,-
Cidelândia (MA),1123,-
Codó (MA),12971,-
Coelho Neto (MA),8159,-
Colinas (MA),12364,-
Conceição do Lago-Açu (MA),1844,-
Coroatá (MA),7815,-
Cururupu (MA),687,-
Davinópolis (MA),919,-
Dom Pedro (MA),1689,-
Duque Bacelar (MA),2224,-
Esperantinópolis (MA),3341,-
Estreito (MA),3071,-
Feira Nova do Maranhão (MA),2621,-
Fernando Falcão (MA),4373,-
Formosa da Serra Negra (MA),5674,-
Fortaleza dos Nogueiras (MA),16080,-
Fortuna (MA),10681,-
Godofredo Viana (MA),1359,-
Gonçalves Dias (MA),9069,-
Governador Archer (MA),3637,-
Governador Edison Lobão (MA),419,-
Governador Eugênio Barros (MA),5395,-
Governador Luiz Rocha (MA),2762,-
Governador Newton Bello (MA),2825,-
Governador Nunes Freire (MA),2554,-
Graça Aranha (MA),2149,-
Grajaú (MA),24154,-
Guimarães (MA),1435,-
Humberto de Campos (MA),3612,-
Icatu (MA),3376,-
Igarapé do Meio (MA),1141,-
Igarapé Grande (MA),3345,-
Imperatriz (MA),614,-
