local,total_area_plantada_hectare,total_cacau_semente_hectare
Igarapé-Miri (PA),54814,462
Inhangapi (PA),5193,310
Ipixuna do Pará (PA),16363,8
Irituia (PA),4208,15
Itaituba (PA),4128,500
Itupiranga (PA),8300,100
Jacareacanga (PA),3168,4
Jacundá (PA),52,-
Juruti (PA),18269,-
Limoeiro do Ajuru (PA),9711,100
Mãe do Rio (PA),3087,-
Magalhães Barata (PA),1193,-
Marabá (PA),14439,-
Maracanã (PA),2527,-
Marapanim (PA),1528,-
Marituba (PA),...,...
Medicilândia (PA),57454,44141
Melgaço (PA),4844,12
Mocajuba (PA),12667,700
Moju (PA),42665,170
Mojuí dos Campos (PA),103084,-
Monte Alegre (PA),13366,241
Muaná (PA),5570,-
Nova Esperança do Piriá (PA),10398,-
Nova Ipixuna (PA),1069,10
Nova Timboteua (PA),2863,-
Novo Progresso (PA),27416,10
Novo Repartimento (PA),6965,4167
Óbidos (PA),20589,-
Oeiras do Pará (PA),7926,90
Oriximiná (PA),14508,-
Ourém (PA),2463,-
Ourilândia do Norte (PA),1694,930
Pacajá (PA),12229,5641
Palestina do Pará (PA),800,-
Paragominas (PA),224118,70
Parauapebas (PA),7021,90
Pau D'Arco (PA),879,-
Peixe-Boi (PA),1501,-
Piçarra (PA),3965,-
Placas (PA),18825,12705
Ponta de Pedras (PA),4155,-
Portel (PA),18658,-
Porto de Moz (PA),1216,12
Prainha (PA),4531,40
Primavera (PA),591,-
Quatipuru (PA),833,-
Redenção (PA),16730,-
Rio Maria (PA),1362,-
Rondon do Pará (PA),55147,-
Rurópolis (PA),9879,2450
Salinópolis (PA),827,-
Salvaterra (PA),2490,-
Santa Bárbara do Pará (PA),435,-
Santa Izabel do Pará (PA),6348,388
Santa Luzia do Pará (PA),2008,-
Santa Maria das Barreiras (PA),108700,-
Santa Maria do Pará (PA),7311,-
Santana do Araguaia (PA),195195,-
Santarém (PA),67413,187
Santarém Novo (PA),1110,-
Santo Antônio do Tauá (PA),5110,-
São Caetano de Odivelas (PA),988,-
São Domingos do Araguaia (PA),3637,30
São Domingos do Capim (PA),16760,350
São Félix do Xingu (PA),19071,4000
São Francisco do Pará (PA),6452,-
São Geraldo do Araguaia (PA),8455,1060
São João da Ponta (PA),789,3
São João de Pirabas (PA),493,-
São João do Araguaia (PA),1855,-
São Miguel do Guamá (PA),6953,-
São Sebastião da Boa Vista (PA),6060,-
Sapucaia (PA),620,-
Senador José Porfírio (PA),6231,4156
Soure (PA),125,-
Tailândia (PA),100035,70
Terra Alta (PA),933,-
Terra Santa (PA),99,-
Tomé-Açu (PA),49014,3770
Tracuateua (PA),4921,-
Trairão (PA),15033,1650
Tucumã (PA),7123,5200
Tucuruí (PA),58,11
Ulianópolis (PA),88547,20
Uruará (PA),23966,18673
Vigia (PA),1045,-
Viseu (PA),8990,-
Vitória do Xingu (PA),6320,5152
Xinguara (PA),1467,70
Serra do Navio (AP),1005,-
Amapá (AP),651,-
Pedra Branca do Amapari (AP),1688,-
Calçoene (AP),1112,-
Cutias (AP),541,-
Ferreira Gomes (AP),1117,-
Itaubal (AP),2511,-
Laranjal do Jari (AP),1564,-
Macapá (AP),4640,-
Mazagão (AP),1468,-
Oiapoque (AP),2322,-
Porto Grande (AP),2357,-
Pracuúba (AP),688,-
Santana (AP),971,-
Tartarugalzinho (AP),3571,-
Vitória do Jari (AP),1054,-
Abreulândia (TO),12782,-
Aguiarnópolis (TO),410,-
Aliança do Tocantins (TO),11291,-
Almas (TO),17027,-
Alvorada (TO),42516,-
Ananás (TO),611,-
Angico (TO),621,-
Aparecida do Rio Negro (TO),50432,-
Aragominas (TO),1431,-
Araguacema (TO),61345,-
Araguaçu (TO),23007,-
Araguaína (TO),8372,-
Araguanã (TO),358,-
Araguatins (TO),1096,-
Arapoema (TO),1394,-
Arraias (TO),1072,-
Augustinópolis (TO),245,-
Aurora do Tocantins (TO),260,-
Axixá do Tocantins (TO),191,-
Babaçulândia (TO),3392,-
Bandeirantes do Tocantins (TO),139,-
Barra do Ouro (TO),10741,-
Barrolândia (TO),826,-
Bernardo Sayão (TO),4882,-
Bom Jesus do Tocantins (TO),24480,-
Brasilândia do Tocantins (TO),672,-
Brejinho de Nazaré (TO),28567,-
Buriti do Tocantins (TO),111,-
Cachoeirinha (TO),205,-
Campos Lindos (TO),164027,-
Cariri do Tocantins (TO),29620,-
Carmolândia (TO),151,-
Carrasco Bonito (TO),180,-
Caseara (TO),72537,-
Centenário (TO),7065,-
Chapada de Areia (TO),1609,-
Chapada da Natividade (TO),17886,-
Colinas do Tocantins (TO),295,-
Combinado (TO),213,-
Conceição do Tocantins (TO),550,-
Couto Magalhães (TO),15448,-
Cristalândia (TO),15355,-
Crixás do Tocantins (TO),8946,-
Darcinópolis (TO),13575,-
Dianópolis (TO),30145,-
Divinópolis do Tocantins (TO),21770,-
Dois Irmãos do Tocantins (TO),14255,-
Dueré (TO),17029,-
Esperantina (TO),219,-
Fátima (TO),3285,-
Figueirópolis (TO),28878,-
Filadélfia (TO),328,-
Formoso do Araguaia (TO),31084,-
Tabocão (TO),6673,-
Goianorte (TO),15176,-
Goiatins (TO),22310,-
Guaraí (TO),16820,-
Gurupi (TO),20906,-
Ipueiras (TO),3889,-
Itacajá (TO),9636,-
Itaguatins (TO),205,-
Itapiratins (TO),25296,-
Itaporã do Tocantins (TO),119,-
Jaú do Tocantins (TO),2647,-
Juarina (TO),1146,-
Lagoa da Confusão (TO),130863,-
Lagoa do Tocantins (TO),3322,-
Lajeado (TO),377,-
Lavandeira (TO),148,-
Lizarda (TO),6966,-
Luzinópolis (TO),801,-
Marianópolis do Tocantins (TO),49335,-
Mateiros (TO),56508,-
Maurilândia do Tocantins (TO),587,-
Miracema do Tocantins (TO),19150,-
Miranorte (TO),19589,-
Monte do Carmo (TO),51783,-
Monte Santo do Tocantins (TO),2832,-
Palmeiras do Tocantins (TO),768,-
Muricilândia (TO),1045,-
Natividade (TO),4276,-
Nazaré (TO),352,-
Nova Olinda (TO),735,-
Nova Rosalândia (TO),12836,-
Novo Acordo (TO),7176,-
Novo Alegre (TO),174,-
Novo Jardim (TO),952,-
